# *** THE GRANADA ACT, FOUND - 14 September 2026. *** Yesterday's Geneanet pass turned "Aguilar" from
# an unattested word into a testable claim in a named diocese, across a FIFTY-YEAR span. The errand it
# left read: "open the Granada marriage act for an exact date, then look for a 1767 baptism of a Sancho
# in the same diocese." The exact date is now had. The 1767 baptism is NOT found - and the search that
# would have proved it absent was cut off by a block before it could be controlled. Both halves below.
what	what the record says	tier	why it matters
*** THE ACT: 17 NOVEMBER 1754, SANTA ANA, GRANADA *** 	FamilySearch ark 1:1:C9WG-BGW2. *** SANCHO DE LERENA Y ARMENTA, birthplace CORDOBA *** - father *** SANCHO DE LERENA Y VELASCO ***, mother *** MARIA ANTONIA DE ARMENTA Y GUEBARA ***. Spouse *** ANA MARIA DE AGUILAR ***, birthplace *** LA MALA *** (La Malaha, Granada) - father *** FRANCISCO DE AGUILAR ***, mother *** BEATRIS FRANCO ***. Event place (original) "Santa Ana, Granada, Granada, Spain". Reference "Items 4-9"	SECONDARY - INDEX ENTRY READ IN FULL; *** THE IMAGE IS MARKED "IMAGE UNAVAILABLE" AND HAS NOT BEEN OPENED ***	*** Geneanet's fifty-year span collapses to a single day, and the index carries TWO GENERATIONS ABOVE the groom. *** A second index entry for the same event sits in "Spain, Granada, Catholic Pre-Marriage Investigation Files, 1556-1899" (ark 1:1:XPG2-RYP), also image-unavailable - so two collections, still no image.
*** IT ALSO SETTLES GRANADA-versus-CORDOBA - FOR THE SPANISH MAN, AND ONLY FOR HIM *** 	The act is at *** GRANADA *** and the groom's birthplace on it is *** CORDOBA ***	SECONDARY	*** Yesterday this archive recorded a THREE-WAY tension: the Geneanet trees say CORDOBA (one says ZUHEROS, CORDOBA), the marriage index said GRANADA, and the 1726-1858 Uruguayan census says "ANDALUZIA". *** The first two were never in conflict: a man BORN at Cordoba MARRIED at Granada, both in Andalusia. *** BUT THE TREES' CORDOBA AND THE CENSUS'S ANDALUZIA ARE ABOUT THE URUGUAYAN SANCHO, AND THIS ACT IS NOT. *** The Cordoba here is the birthplace of the 1754 GROOM. Reading it as confirmation of the trees' Cordoba for the man born in 1767 assumes the very descent that is unproved - and this archive caught itself doing exactly that while writing this file up. *** What actually closed is a question about the SPANISH record. The Uruguayan birthplace is exactly as open as it was yesterday. ***
*** AND THE FAMILY IS ALL OVER MADRID, 1766-1808 *** 	A full-text search for the phrase *** "Lerena y Armenta" *** returns *** 55 HITS ***: Madrid notarial records from *** 1766 to 1808 ***, and Cordoba nobility records 1772-1780. Sample readings: "con Don Sancho de Lerena y Armenta", "Don Sancho de Lerena, y Armenta vezino de..."	PRIMARY for the phrase - *** transcripts read here ***	The groom did not stay in Andalusia. *** He is a vecino of MADRID by 1766 *** - twelve years after the wedding and the year before the Uruguayan Sancho's birth year of 1767. *** That moves the place to look for a 1767 baptism from Granada to MADRID, which is not what yesterday's errand said. *** The errand was written before this was known and is corrected here, not quietly.
*** A BROTHER, IN CORDOBA IN 1751 *** 	Cordoba nobility records, ark 3:1:33SQ-GPX7-SSYL, transcript read: a testament signed "en Cordova en catorce dias del mes de Junio de mil setecientos, cincuenta y un anos", *** witnessed by "Don ANTONIO DE LERENA Y ARMENTA, Don Francisco de Ayora, y Joseph de Sosa" ***	PRIMARY - *** full-text transcript opened and read here ***	Same double surname, same city, same generation, three years before the wedding. *** Sancho de Lerena y Armenta had at least one brother, and the family were "Don" and in the NOBILITY records of Cordoba. *** It is the first time this archive has seen the surname sitting in a Spanish town as a family rather than as a single indexed name.
*** THE COUPLE HAD CHILDREN, AND THE CHILDREN BORE THE COMPOUND *** 	Madrid notarial records 1790, ark 3:1:3Q9M-CS2C-N7RV, transcript read: "...Asi lo dijo otorgo y firmo... siendo testigos, Don Pedro Quipo de Loso, Don Manuel de Oro, y Don Miguel Ximene[z] residentes en esta Corte *** JUAN DE LERENA Y AGUILAR *** Ante mi. Felix Rodriguez". Dated 27 March 1790	PRIMARY - *** transcript opened and read here ***	*** THIS IS THE LOAD-BEARING FIND. *** The name stands in the SIGNATURE position - after the witnesses, before "Ante mi" and the notary - so it is ONE MAN with a compound surname, not two men joined by "y". *** A JUAN DE LERENA Y AGUILAR in Madrid in 1790 is what a son of Sancho Lerena y Armenta and Ana Maria de Aguilar would be called. *** So "Lerena y Aguilar" is a name real people actually bore, in the right family, in the right place, in the right generation - which is exactly what the trees claim for our Sancho and what this archive spent two days calling unattested.
*** AND A FALSE FRIEND, CAUGHT *** 	Of the 14 full-text hits for "Lerena y Aguilar", one is *** MONTEVIDEO *** - which would have been the bridge. Opened: ark 3:1:3Q9M-CS2C-2SSN-M, a Durazno baptism of 21 January 1869 copied out in 1897. It reads *** "fueron sus padrinos MAURICIO LERENA Y PETRONA AGUILAR" *** - two godparents, "y" meaning "and"	PRIMARY - *** transcript read, and it disproves the hit ***	*** The single most tempting result in the whole pass was noise, and only reading it showed that. *** It is the same shape as the "Santo Oficio" trap this archive recorded in Spain: a phrase search cannot tell a compound surname from a conjunction. *** Every "Lerena y Aguilar" hit has to be read in its sentence before it counts. *** The Madrid 1790 one survives that test; this one does not. (The Durazno child's mother is "CLARA SERENA", incidentally - the Lerena/Serena alternation again, in Uruguay in 1869.)
*** THE TEST FOR A SON SANCHO: NOT PASSED, AND NOT FAILED EITHER *** 	Structured search, both parents - q.fatherSurname=Lerena, q.fatherGivenName=Sancho, q.motherSurname=Aguilar, q.motherGivenName=Ana Maria, f.recordCountry=Spain - returns *** "No Results Found" ***, the message present. *** CONTROL in the same form and the same session: *** father Sancho Lerena alone, Spain - *** 12 RESULTS ***, the first of them this very marriage	*** A GENUINE NULL, CONTROLLED *** - but see the next row for what it does and does not mean	*** It means NO INDEXED BAPTISM names that couple as parents. It does NOT mean they had no children *** - the Madrid signature above proves they did. Spanish notarial and parish coverage on FamilySearch is partial and the full text reaches documents the name indexes never touched. *** So this null narrows the search; it does not close the question. ***
*** AND THE ONE SEARCH THAT WOULD HAVE ANSWERED IT WAS CUT OFF *** 	Full-text, exact phrase *** "Sancho de Lerena y Aguilar" *** - the page rendered *** "(0)" *** . *** IT IS NOT RECORDED AS A NULL. *** The "No Results Found" line was ABSENT, no control had been run, and the very next request returned *** "Access Denied - Error 15, this request was blocked by our security service" ***	*** NOT EVIDENCE. NOT WRITTEN DOWN AS AN ANSWER. ***	*** This archive read three transient zeros off this exact page earlier in the month and nearly recorded them; the rule since is that a null is not written down until a control in the same form returns a known result in the same session. *** The control here - "Juan de Lerena y Aguilar", a phrase KNOWN to return at least one hit because it was read an hour before - never loaded. *** A zero delivered immediately before a block is the least trustworthy zero there is. *** *** THIS IS THE FIRST THING TO RE-RUN WHEN THE BLOCK LIFTS, and it is a five-minute job with an answer either way. ***
#
# ================ *** WHERE THIS LEAVES THE SPANISH QUESTION *** ================
