# *** THE PRESIDENT OF URUGUAY STOOD GODFATHER TO SANCHO LLERENA'S GRANDSON. ***
# Nuestra Senora del Carmen la Mayor, CORDON extramuros de Montevideo, 13 December 1831.
# Teniente Cura: Don Benito Alonso Covian. Image ark 3:1:3Q9M-C9BW-CS9Z-2.
# Found 14 September 2026 through FamilySearch FULL-TEXT, which reads the handwriting itself -
# this act is not name-indexed and no search on LERENA would ever have returned it.
field	what the act says	why it matters
Child	Juan Facundo Frutuoso, born 27 November 1831, baptised 13 December	*** Named FRUTUOSO for his godfather. ***
Father	"Manuel Zeferino Barros, natural de PERNAMBUCO"	A Brazilian.
Mother	*** "JUSTA PASTORA LERENA, natural de CANELONES" ***	*** A DAUGHTER OF SANCHO, AND A SISTER OF DON LUIS LERENA - a person this archive had never met. *** Born at Canelones, which is where Sancho is said to have married in 1791, and where he appears as a sworn witness in the marriage-investigation files.
Paternal grandparents	"Jose Pando de Barros y Ana Maria Cabalgante"	
Maternal grandparents	*** "SANCHO LLERENA y MARIA FERNANDEZ" ***	*** A FIFTH RECORD NAMING SANCHO, and the only one that is not about his son Luis. *** Spelled LLERENA with the double L, as in the 1836 petition.
Godparents	*** "Fueron padrinos Don FRUCTUOSO RIVERA, PRESIDENTE DE LA REPUBLICA, y su esposa Dona BERNARDINA FRAGOSO" ***	*** THE FIRST CONSTITUTIONAL PRESIDENT OF URUGUAY AND THE FIRST LADY, AT THE FONT FOR SANCHO LLERENA'S GRANDSON. *** Rivera was president from 1830 to 1834; the act is of December 1831, squarely in his first term.
#
# *** WHAT THIS CHANGES. ***
# This archive has carried the Lerenas as obscure - "naturales del E. Oriental" in a Rosario act, a
# hacendado's death in 1901, a tinsmith wrongly thought to be one of them. The social picture was
# thin and mostly inferred.
#
# It is not thin. In December 1831 the President of the Republic and his wife stood as godparents to
# a grandson of Sancho Llerena. Padrinos of that rank are not chosen at random: they mark a family
# with standing, or a debt, or a connection to the Rivera circle. *** That is a research direction
# this archive has never had. ***
#
# It also fits what came later: Justiniana's father was a GENERAL; Candido Juanico was an ABOGADO;
# Luis Eugenio died a HACENDADO; Ema Sixta married the philosopher Jose Pedro Massera; Candido Jaime
# married a Magarinos. *** The pattern is consistent, and it starts earlier than anything here. ***
#
# AND A CAUTION, because the temptation is obvious. Nothing in this act touches Pablo Armando or
# Juan Carlos. It is about the generation of Sancho's children, sixty years earlier, and it is
# recorded as social context and a new sibling - not as descent.
#
# ============== THE PLATE, OPENED 21 SEPTEMBER 2026 - AND IT HOLDS ==============
#
# *** EVERY WORD ABOVE CAME FROM A MACHINE UNTIL TODAY. *** This file said "found through
# FamilySearch FULL-TEXT, which reads the handwriting itself" - and full text is a machine
# reading handwriting, which is the one thing it is worst at when the words are proper nouns.
# An audit written this morning, tools/transcript-only.py, ranked the unopened plates by how
# many register rows depend on them. *** This one came first, with seven ***, and it carries the
# most consequential proper noun in the archive.
#
# *** SO IT WAS OPENED: film 007713388, image 00726, folio 133. IMAGE READ. ***
#
# *** THE PRESIDENT IS ON THE PLATE, AND SO IS HIS OFFICE. *** The act reads, in the priest's
# own hand:
#
#     'padrinos Dn. FRUTUSO RIBERA, PRESIDENTE DE LA REPUBLICA y su esposa
#      Da. BERNARDINA FRAGOSO'
#
# *** THE SPELLING IS THE PRIEST'S, NOT THE MACHINE'S: FRUTUSO RIBERA, with a B. *** The
# transcript above prints "FRUCTUOSO RIVERA", which is how the name is written in history books
# and is NOT what this page says. The identification does not turn on the spelling - the act
# states the man's OFFICE and names his WIFE, and in December 1831 the President of the Republic
# was Fructuoso Rivera and his wife was Bernardina Fragoso. *** Two independent facts on one
# line, either of which would identify him alone. ***
#
# *** AND THE REST OF THE ACT SURVIVES WORD FOR WORD: *** 'Barros natural de PERNAMBUCO';
# '[Le]rena natural de CANELONES'; 'Abuelos paternos [Jose Pan]de Barros y ANA MARIA CABALGANTE';
# maternal 'LLERENA y MARIA FERNANDEZ' - *** and LLERENA on the plate, with the double L ***,
# which is the spelling this archive has been arguing about since its first week. The teniente
# cura signs BENITO ALONSO COVIAN.
#
# *** WHY THIS IS WORTH AS MUCH AS A CORRECTION. *** On the same day the audit ran, three
# surnames from another machine transcript turned out to be wrong - GAVARRO for GAVAZZO, JUAREZ
# for SUAREZ. A reader who saw only that would conclude the transcripts are unreliable. They are
# not unreliable; they are unreliable ABOUT UNFAMILIAR PROPER NOUNS. Here the machine had a name
# it knew - a President in the history books - and it wrote the famous spelling over the page's
# own. *** Both failures are the same failure, and it points in opposite directions. ***

