# *** EVERY IMAGE ARK IN THIS ARCHIVE, RESOLVED TO A FILM AND IMAGE NUMBER. 15 September 2026. ***
# An ark alone cannot be reopened when the FamilySearch viewer is down. A film-and-image can:
# dgs:{film9}.{film9}_{image5} is accepted directly by the tile service, which keeps serving
# through an Error 15 block. *** Resolved by one manifest.json call each. ***
ark	film_and_image	state
3:1:33SQ-GPX7-SSYL	dgs:004837858.004837858_00500	resolved
3:1:3Q9M-C913-K9H3-D	HTTP403	restricted (HTTP 403)
3:1:3Q9M-C9B7-B3WZ-8	dgs:007713391.007713391_01669	resolved
3:1:3Q9M-C9B7-BQZD-W	dgs:007713379.007713379_00782	resolved
3:1:3Q9M-C9B7-GS3N-1	dgs:007713362.007713362_02473	resolved
3:1:3Q9M-C9B7-J331-G	dgs:007713255.007713255_02849	resolved
3:1:3Q9M-C9B7-LSMR-1	dgs:007713386.007713386_00831	resolved
3:1:3Q9M-C9B7-NNW8	dgs:007713367.007713367_02860	resolved
3:1:3Q9M-C9B7-P72J-V	dgs:007713363.007713363_01553	resolved
3:1:3Q9M-C9B7-R32C-K	dgs:007713383.007713383_02601	resolved
3:1:3Q9M-C9B7-R346-Z	dgs:007713400.007713400_02828	resolved
3:1:3Q9M-C9B7-T7P2-W	dgs:007713384.007713384_00700	resolved
3:1:3Q9M-C9B7-YSFQ-2	dgs:007713376.007713376_00601	resolved
3:1:3Q9M-C9B7-YSFY-L	dgs:007713376.007713376_01689	resolved
3:1:3Q9M-C9B7-YSKH-H	dgs:007713376.007713376_01498	resolved
3:1:3Q9M-C9B7-YSVD-2	dgs:007713376.007713376_00515	resolved
3:1:3Q9M-C9B7-ZSZQ-J	HTTP403	restricted (HTTP 403)
3:1:3Q9M-C9BP-73LY-N	null	no deepzoom id
3:1:3Q9M-C9BW-CS9Z-2	dgs:007713388.007713388_00726	resolved
3:1:3Q9M-C9BW-N7DN-G	dgs:007713525.007713525_01398	resolved
3:1:3Q9M-C9BW-N7HN-1	dgs:007713525.007713525_01917	resolved
3:1:3Q9M-C9BW-NLLP	dgs:007713686.007713686_02324	resolved
3:1:3Q9M-C9BW-NRM4	dgs:007713686.007713686_02847	resolved
3:1:3Q9M-C9BW-X74C-2	dgs:007713375.007713375_00551	resolved
3:1:3Q9M-C9BW-X757-D	dgs:007713375.007713375_02628	resolved
3:1:3Q9M-C9BW-X7F6-M	dgs:007713375.007713375_02410	resolved
3:1:3Q9M-C9BW-X7PG-M	dgs:007713375.007713375_02568	resolved
3:1:3Q9M-C9BW-Z9RM-W	dgs:007713393.007713393_01692	resolved
3:1:3Q9M-C9BW-Z9RS-F	dgs:007713393.007713393_01675	resolved
3:1:3Q9M-C9BW-ZS46-J	dgs:007713378.007713378_02598	resolved
3:1:3Q9M-C9BW-ZS62-J	dgs:007713524.007713524_01741	resolved
3:1:3Q9M-CS21-JWJ5-W	dgs:008181806.008181806_00017	resolved
3:1:3Q9M-CS27-NQ7J-9	dgs:008164291.008164291_00303	resolved
3:1:3Q9M-CS27-Z7WR-1	dgs:008163867.008163867_00231	resolved
3:1:3Q9M-CS2C-2SSN-M	dgs:008166435.008166435_02693	resolved
3:1:3Q9M-CS2C-DPLX	dgs:008165999.008165999_00381	resolved
