# *** THE LIBROS CASTRENSES AND THE MONTEVIDEO INDEX, OPENED BY IMAGE NUMBER. 15 September 2026. ***
# DGS 7713373 (military books) and DGS 7713386 (claimed index). Read off the images, at magnification.
# *** Two catalogue attributions in this archive were tested here. One held. One did not. ***
image	what is on it	date read from the page	what it means
*** THE LIBROS CASTRENSES, OPENED AT LAST. 15 September 2026. ***	*** DGS 7713373 - and the film is NOT what the catalogue line in this archive said it was. ***	-	*** THE ARCHIVE RECORDED THIS FILM AS 'Bautismos, matrimonios y defunciones, 1781-1814, del Regimiento de Infanteria de Buenos Ayres'. *** The film's own boards say *** 'URUGUAY, ARCHIVO DE LA CURIA' and 'MONTEVIDEO, ARCHIVOS PARROQUIALES, P. INMAC. CONCEPCION (CATEDRAL)' ***, project URUG 1000A, roll 84, filmed 5 August 1999. *** BUT THE SUBSTANCE OF THE CLAIM SURVIVED THE CHECK *** - see the next rows. The regiment's register really is on this reel. It is simply one item inside a mixed Curia film, not the whole of it.
606 / 623	*** THE ITEM BOARDS, WHICH ARE HOW THE REEL WAS MAPPED ***	-	606 is a *** 'FIN DEL ITEM' *** board closing *** 'CAUSAS VARIAS, SIGLO XVIII' ***. 623 opens the next item: *** 'TITULO DEL REGISTRO: CATALOGO Y LIBROS MILITARES - VOLUMEN 5' ***. *** So the military books are item 5, and they begin at image 623. ***
624-650	*** A CATALOGO THAT IS NOT WHAT IT SOUNDS LIKE ***	19th century	A printed card *** 'CATALOGO de los libros parroquiales' *** then handwritten lists: *** 'Bautismos - Libro 34: Empieza el 28 de mayo 1868 y termina el 11 de octubre de 1869 al folio 555' ***, running to Libro 58 and 1899. *** It is the CATHEDRAL'S OWN INVENTORY OF ITS BOOKS, not an index of people. *** Anyone expecting to look a name up here will waste an hour.
655	*** THE REGIMENT, NAMED, IN THE PRIEST'S OWN WORDS *** *** 'En veinte y seis de Julio de mil setecientos ochenta y nueve yo Don Juan Miguel de Berroeta, CAPELLAN DEL REGIMIENTO INFANTERIA DE BUENOS AYRES, en esta Iglesia Matriz de Montevideo, bautice solemnemente...' ***	PRIMARY - July/August 1789	*** THIS SETTLES IT: THE REGIMENT'S OWN CHAPLAINCY REGISTER IS ON THIS FILM, AND IT IS READABLE. *** The chaplain is *** Juan Miguel de Berroeta ***. *** A CAUTION FOR WHOEVER READS NEXT: *** at fit-width this session first read the name as 'Mendoza' and read a slave-owner in a neighbouring entry as 'Llerena'. *** At full magnification they are BERROETA and FRANCISCO JUAREZ. *** Neither misreading reached the site, but both were one careless sentence away from doing so.
655	*** AND THE BOOK COVERS DRAGOONS AS WELL AS INFANTRY *** A neighbouring entry names the *** 'Dragones de Buenos Ayres' *** and another a *** 'Sargento de Dragones' ***.	PRIMARY - 1789	*** SANCHO WAS 'EL SOLDADO DRAGON' IN THE 1793 CANELONES BAPTISM. *** So the unit he is actually attested with is inside the scope of this book, not adjacent to it. That is the first time the castrense argument has rested on the film rather than on a catalogue line.
656 / 658 / 660 / 661	*** THE DATED ANCHORS - WHERE 1791 IS ON THIS FILM *** 656 right page is headed *** 'Ano 1790' ***; 658 carries 19 May, 1 June and 12 July 1790; *** 660 is headed 'Ano de 1791' *** and carries *** 'En treinta de Enero de mil setecientos noventa y uno' ***; 661 carries 27 and 28 March 1791.	PRIMARY - 1790-1791	*** SO THE REGIMENT'S BOOK COVERS THE EXACT MONTH SANCHO MARRIED, AND IT IS AT IMAGE 660. *** Roughly three images to the year in this stretch. *** NOTHING NAMED LLERENA WAS FOUND IN THE FIVE IMAGES READ (655, 656, 658, 660, 661) - and five images is NOT a search of the book. *** The book runs from about image 652 to about 950, ending in 1814. *** Reading it properly is the next job and it is about three hundred images. ***
660	*** A PROBLEM FOR THIS ARCHIVE'S OWN ARGUMENT *** *** '...bautice solemnemente a Rafael Martin, hijo legitimo de MANUEL SANCHEZ, SARGENTO de dicho Regimiento, natural de la Ciudad de [Cordoba]' *** - three weeks after Sancho's wedding.	PRIMARY - 30 January 1791	*** THE CANELONES INFORMACIONES CONTAIN A 'JUAN MANUEL SANCHEZ, NATURAL DEL REINO DE ANDALUCIA' MARRYING IN MARCH 1791 *** - the single 1791 expediente in that whole series, at images 1462-1464 of DGS 8166573. *** IF THOSE ARE THE SAME MAN, then a soldier of this very regiment DID go through the Canelones vicaria and DID leave an informacion there *** - and this archive's suggestion that military jurisdiction explains why Sancho left none *** is weakened, not supported. *** *** NOT ESTABLISHED EITHER WAY: 'Manuel Sanchez' and 'Juan Manuel Sanchez' is a common name, and the castrense entry's birthplace was cut off at the page edge. *** It is written down because it cuts against the archive's preferred reading, which is exactly when a thing must be written down.
970-1050	*** A SECOND MILITARY VOLUME - BURIALS *** A vellum cover with ties at 970; then burials: *** 'se sepulto en el Cementerio de esta Iglesia Matriz' ***, *** 'Diciembre de 1812' ***, and at image 1000 a heading *** 'Entierros' *** with entries of January, February and December 1813.	PRIMARY - 1812-1813	Confirms the 1781-1814 span claimed for the castrense material, at its far end. *** Burials of soldiers are worth a later pass: Sancho's own death is given by the trees as 1832, which is outside this book, but his comrades are not. ***
*** PRIORITY 3, AND IT FAILS ***	*** DGS 7713386 IS NOT THE 1726-1800 INDEX. ***	1887 and 1905	*** The archive called this 'Indices de bautismos, matrimonios y defunciones (2 libros), 1726-1800' and called opening it 'THE CHEAPEST TEST IN THE ARCHIVE'. *** Two images were sampled. *** Image 300 is a burial register of the Catedral Basilica de Montevideo for 1887 *** - Echevarria, Lapeyre, Bigliotto, Basanez, Valverde, Garzolo, Foglia, Pita, Regussi, Marroig. *** Image 1500 is a numbered burial register for 1905 ***. *** NEITHER IS AN INDEX AND NEITHER IS EIGHTEENTH CENTURY. *** *** HONEST LIMIT: two samples out of 2,244 images do not prove the index is absent from the film *** - but the attribution is not confirmed, and the errand that rests on it must stop describing it as cheap or certain.
652-662	*** THE 1789-1791 WINDOW OF THE REGIMENT'S BOOK, READ CONTINUOUSLY - ELEVEN IMAGES, NO GAPS. *** 652 is December 1787 and heads *** 'Ano 1788' ***; 653-654 are 1788; 655-656 are 1789; 657-659 are 1790; *** 660 heads 'Ano de 1791' and carries 30 January 1791 ***; 661 is 27-28 March 1791; 662 is 4 July 1791. About three images to the year.	PRIMARY - 1787 to July 1791	*** NO LLERENA, NO LERENA AND NO LORENA IN ANY OF THE ELEVEN. *** This covers the month Sancho married and the two years either side of it. *** The families in the book in these years are Menchero, Arias, Illescas, Lamas, Sanchez, Martinez, Coronel, Villar, Juarez *** - Manchegan, Galician, Andalusian and porteno soldiers of the regiment, and a great many baptisms of enslaved children belonging to its officers.
*** THE LIMIT OF THAT FINDING, STATED PLAINLY ***	*** Eleven images out of roughly three hundred. *** The book runs from about image 652 to about 950 and ends in 1814; *** images 663 to 950 have NOT been read. *** And the scan itself has a known weakness: *** this hand was misread at fit-width three times in one sitting *** - the chaplain as 'Mendoza' when he is BERROETA, a slave-owner as 'Llerena' when he is FRANCISCO JUAREZ, and a mother as 'Rosalia Illera' when she is PETRONA ILLESCAS.	-	*** SO THIS IS A NEGATIVE OVER ELEVEN IMAGES, NOT OVER THE BOOK, AND IT IS A SCAN RATHER THAN A TRANSCRIPTION. *** Every candidate beginning with L was magnified before being dismissed, but *** a Llerena buried mid-sentence in an unzoomed line could have been missed. *** Written this way because 'not found' and 'not there' are different statements and this archive keeps them apart.
