# Everything this archive published, or was about to publish, and then had to take back.
# severity: serious = it changed a conclusion or would have misled a reader | minor = a slip, corrected
date	severity	what_was_said	what_is_true	how_it_was_caught
2026-09-08	minor	That CEMLA lived at cemla.org	cemla.org is a Mexican central-banking body. The arrivals index is at cemla.com/buscador/	David went to the address given and found the wrong institution.
2026-09-08	minor	That Mary Ann Hellen Brayley was a new find	She had been in data/taylor-line.tsv since 8 September, from David's own MyHeritage tree. What findmypast supplied was a citation - the baptism of 30 Oct 1884 at Northam, ref 1843A/PR/1/16 - not the fact.	David: "why is her mothers name new? its been in my myheritage tree forever."
2026-09-09	serious	That the Rosario marriage index showed "Larena V x Sarmiento A" at Libro 9 folio 20 - and that this was a candidate	The entry reads *** LAVENA V. x BELMONTE A. ***. It was misread at low resolution and kept a false candidate alive for two days.	Read again at the film's maximum resolution on 10 September. Not close: the hand is unambiguous.
2026-09-09	serious	That a cluster of Larena/Lerena at Cayasta might be a kindred	Cayasta is an ITALIAN colony - Laurini five times, Lauron, Castelarin - and the same mother is transcribed Azela in one act and Raiela in another. The "cluster" was a transcription artefact.	Reading the acts instead of the index. Retracted publicly; the register entry is now EXCLUDED.
2026-09-09	serious	That the 1869 census showed a Llerena HOUSEHOLD at Rosario	The image shows twelve separately-numbered, unrelated individuals in a conventillo. There is ONE man of the name, Bartolome, not a family.	Opening the image instead of trusting the index grouping.
2026-09-09	minor	That Gabino L. Llerena was a Rosario-born link between the two countries	Every other person on his record is Uruguayan, so the Rosario in question is Rosario, COLONIA, in Uruguay.	Caught before it was published, by reading the rest of the record.
2026-09-09	serious	That reading the Rosario registers needed the Chrome extension, because the in-app browser could not crop	Wrong twice. The viewer has its own zoom, and - far more important - the Image Index panel is an HTML TABLE. The handwriting never needed to be read at all.	David: "why do you need chrome? use your own browser?"
2026-09-10	serious	That "Armand[o] Lorena", born 1882 at Rosario de Lerma, Salta, was "probably not him" - written off on four objections	It IS him. The image reads "Clase de 1882 / LERENA - Pablo Armando / hijo de JUAN CARLOS LERENA y de MARIA LERENA / Nacido en Rosario de Santa Fe / Oficina enroladora de CAPETOWN". Three of the four objections were artefacts of a machine index that dropped "Pablo", moved him 1,400 km, wrote Lerena as Lorena, and invented the surname "Serena" out of the printed word SERIE.	Opening the image. It took two minutes. *** This is the most serious error in the archive: the central finding of the project was nearly discarded. ***
2026-09-10	serious	That Roque's first wife was "Rosalina Wilhelmina CHAPPELL", read from a marriage index	CHAPPELL was her MARRIED name. She was Roseline Wilhelmina FORBES, widow of Frederick Christian Chappell. The 1936 register calls her "Rosaline Wilhermina Forbes Chappell" because that is what a remarrying widow is called.	The 1920 Chappell-Forbes marriage, found in BOTH the civil and the Anglican registers, plus Chappell's own estate file.
2026-09-10	serious	Margin readings taken from register openings rendered at 42% scale	Not reliable. At that size "Timoteo Lucero" was read as "Armando Sara" - both words wrong, and an L-surname missed, which is the exact failure that matters when hunting one L-surname. Every opening was re-read from the margin strips at maximum resolution.	Zooming on a single doubtful entry, and finding it was not doubtful at all - it was simply wrong.
