# WHAT FAMILYSEARCH WAS AND WAS NOT SERVING, 13-14 September 2026.
# Recorded because three separate jobs in this archive stalled on it, and because the NEXT person
# to stall should be able to tell an outage from a block from a mistake of their own.
#
# *** THE THREE FAILURE MODES LOOK DIFFERENT, AND THEY MEAN DIFFERENT THINGS. ***
surface	behaviour	what it means
Catalogue SEARCH (/search/catalog/results?q.text=...)	Returned the page furniture and then "Something Went Wrong"	Their outage. Nothing to do but wait - or use the workaround below.
Catalogue BY ID (/search/catalog/208788)	*** WORKED THROUGHOUT, while its own search box was dead. *** Every DGS number recovered on 13-14 September came out of it.	*** THE MOST USEFUL THING ON THIS PAGE. When the catalogue looks dead, open the ID directly. ***
FULL-TEXT search	"Something Went Wrong", both days	Their outage. This is the half the Montevideo dispensations live in, which is why that job is still blocked.
Name-indexed RECORDS search	Worked for most of both days, then on 14 September began returning *** AN EMPTY BODY - zero bytes, no error page at all *** - for a query that had worked twenty minutes earlier	A THIRD failure mode, and the quietest. An empty body is not "no results": a real null returns a page saying so. Anything that reports "0 results" off a zero-length body is reporting the outage, not the records.
Image tiles (sg30p0 DeepZoom)	*** Served normally throughout, on both days, while everything else was failing. *** Every image read on 13-14 September came through while search was down.	Images and search fail independently. A search outage does NOT mean the documents are unreachable - if you already hold an ark, go straight to the tiles.
Film viewer (/search/film/<DGS>?i=N)	Failed for one film on 13 September (no tiles, no ark in the title) and worked for the same film on 14 September	Transient. A film that serves nothing is worth retrying the next day before it is written up as restricted.
#
# *** AND A CAUTION ABOUT THIS ARCHIVE'S OWN HISTORY. *** FamilySearch has previously firewalled
# this automated session outright (Incapsula), caused by reading rate. That is NOT what happened on
# 13-14 September - the session stayed signed in and the tile server never refused anything. But it
# is the reason reading stopped when the third failure mode appeared rather than being pushed
# through. A block costs days; waiting costs hours.
#
# ---- 14 SEPTEMBER 2026, LATER: FULL TEXT CAME BACK, AND ONE FILTER STILL BREAKS IT ----
#
# *** THE recordCountry FILTER KILLS A FULL-TEXT SEARCH. ***
#   /search/full-text/results?q.text="Carolina Oliva"&f.recordCountry=Uruguay  ->  "Something Went Wrong"
#   /search/full-text/results?q.text="Carolina Oliva"                          ->  1,987 results
# The same query, the filter the only difference. So a full-text search that errors is worth retrying
# WITHOUT the country filter before it is written up as an outage - which is very nearly what
# happened here on two consecutive days.
#
# Two more things about full text, learned the same hour and worth keeping:
#   - MULTIPLE QUOTED PHRASES DO NOT AND. Searching "Lerena" "Carolina Oliva" returns Arequipa and
#     Valladolid: it is matching loosely, not requiring both. Use ONE distinctive phrase.
#   - THE TRANSCRIPT IS IN THE PAGE. Opening a result with ?view=fullText puts the machine
#     transcription of the whole document into the DOM, so it can be searched directly for a name
#     rather than read off tiles. That is how the 1831 Cordon act was found and read in one step.

14 Sep 2026	Records search	*** THE QUIET FAILURE, SECOND VARIETY: a rendered "(0)" that is not a zero. *** The results page composes and displays "Historical Record Search Results (0)" WHILE THE QUERY IS STILL RUNNING. It is visually and textually identical to a true empty result. Three searches were read as nulls and were within a minute of being written into the archive. *** Caught by a control query whose answer was already known. *** Results arrived 7-18 seconds after the "(0)" was on screen.	Do not read a result count until a control query in the same form has returned a known non-zero answer in the same session.
20 Sep 2026	Sign-in state	*** SIGNED OUT AGAIN, three days after being signed in. *** Any /search/ URL redirects to *** ident.familysearch.org *** and the results frame renders empty.	*** The session does not survive between sessions, and the archive should assume it is signed out until proved otherwise. *** No null was recorded from FamilySearch today. *** The rule that saved it is the one already in this file: a rendered '(0)' is not a zero *** - the redirect was the tell.
20 Sep 2026	DeepZoom, signed out	*** thumb_p200.jpg SERVES ANYWAY. *** Plain curl, no session, HTTP 200. But *** manifest.json returns 401 'Unauthorized (anonymous session)' *** and so do the tiles.	*** This is what made row 40 possible on a signed-out day: 58 film numbers verified with no session at all. *** Corrects this archive's own method note, which implied manifest.json was anonymous. *** And a 401 is NOT a missing film - access is per IMAGE: DGS 008166573 gives 401 at image 1 and 200 at image 100. Only 404 means absent (control: 999999999). ***
20 Sep 2026	gazettes.africa	*** SPLIT BEHAVIOUR, and it matters. *** The *** search index is open *** and returned 42 documents for 'Lerena'. The *** document viewer *** answers *** 'Just a moment... performing security verification' *** - a bot challenge - and did not clear in 40 seconds.	*** Snippets yes, pages no. *** Which means a name that fails a gazette search today is *** untested, not absent ***, because the page cannot be opened to check the OCR. *** The challenge was not worked around. *** Three new records were still found from snippets alone - see data/gazette-three-new.tsv.
