# *** THE FILM REGISTER: every DGS this archive can reach, and what it ACTUALLY is. 15 September 2026. ***
# *** Built from resolved arks, not from catalogue lines - two of this archive's catalogue
# attributions failed inspection on 15 September, and one film turned out to have two blocks. ***
film	images this archive holds	what it is
4098797	1 image(s): 370	not yet identified - resolve from an image Information panel
4149111	1 image(s): 8	not yet identified - resolve from an image Information panel
4331984	2 image(s): 86, 410	not yet identified - resolve from an image Information panel
4531018	1 image(s): 146	not yet identified - resolve from an image Information panel
4531019	1 image(s): 10	not yet identified - resolve from an image Information panel
4569616	1 image(s): 118	not yet identified - resolve from an image Information panel
4571157	1 image(s): 86	not yet identified - resolve from an image Information panel
4571164	1 image(s): 201	not yet identified - resolve from an image Information panel
4581639	1 image(s): 132	not yet identified - resolve from an image Information panel
4837858	1 image(s): 500	not yet identified - resolve from an image Information panel
7499043	1 image(s): 912	not yet identified - resolve from an image Information panel
7713255	1 image(s): 2849	not yet identified - resolve from an image Information panel
7713362	1 image(s): 2473	not yet identified - resolve from an image Information panel
7713363	1 image(s): 1553	not yet identified - resolve from an image Information panel
7713367	1 image(s): 2860	not yet identified - resolve from an image Information panel
7713375	4 image(s): 551, 2410, 2568, 2628	Montevideo, Catedral. Baptisms - 1789 godparent act at image 551; 1811 baptism of Luis Escolastico at image 2410.
7713376	4 image(s): 515, 601, 1498, 1689	Montevideo, Catedral. Baptisms 1825-1828 (images 515, 601) and later (1498, 1689).
7713378	1 image(s): 2598	not yet identified - resolve from an image Information panel
7713379	1 image(s): 782	not yet identified - resolve from an image Information panel
7713383	1 image(s): 2601	not yet identified - resolve from an image Information panel
7713384	1 image(s): 700	not yet identified - resolve from an image Information panel
7713386	1 image(s): 831	NOT the 1726-1800 index, whatever the catalogue said. Images 300 and 1500 are Montevideo cathedral BURIAL registers of 1887 and 1905. An archive ark lands at image 831 - unidentified.
7713388	1 image(s): 726	not yet identified - resolve from an image Information panel
7713391	1 image(s): 1669	Nuestra Senora del Carmen, Cordon, Montevideo. Religious marriages 1825-1916 - Justa Pastora's marriage at image 1669.
7713393	2 image(s): 1675, 1692	not yet identified - resolve from an image Information panel
7713400	1 image(s): 2828	not yet identified - resolve from an image Information panel
7713524	1 image(s): 1741	not yet identified - resolve from an image Information panel
7713525	2 image(s): 1398, 1917	not yet identified - resolve from an image Information panel
7713686	2 image(s): 2324, 2847	not yet identified - resolve from an image Information panel
7857687	1 image(s): 405	not yet identified - resolve from an image Information panel
8163867	1 image(s): 231	not yet identified - resolve from an image Information panel
8164291	1 image(s): 303	not yet identified - resolve from an image Information panel
8165032	4 image(s): 491, 500, 501, 505	not yet identified - resolve from an image Information panel
8165044	1 image(s): 973	not yet identified - resolve from an image Information panel
8165099	1 image(s): 1845	not yet identified - resolve from an image Information panel
8165115	1 image(s): 1845	not yet identified - resolve from an image Information panel
8165116	1 image(s): 1442	not yet identified - resolve from an image Information panel
8165124	1 image(s): 90	not yet identified - resolve from an image Information panel
8165128	1 image(s): 29	not yet identified - resolve from an image Information panel
8165196	1 image(s): 202	not yet identified - resolve from an image Information panel
8165199	1 image(s): 1773	not yet identified - resolve from an image Information panel
8165999	1 image(s): 381	not yet identified - resolve from an image Information panel
8166432	1 image(s): 1689	not yet identified - resolve from an image Information panel
8166435	1 image(s): 2693	not yet identified - resolve from an image Information panel
8166522	1 image(s): 138	not yet identified - resolve from an image Information panel
8166571	5 image(s): 1017, 1084, 1130, 1159, 1176	Canelones, Baptism Records Mar 1794-Jan 1810.
8166573	2 image(s): 274, 2167	Canelones, Ntra Sra de Guadalupe. TWO BLOCKS: images 72-478 = BAPTISMS Jun 1776-Feb 1794; images 1057-3295 = INFORMACIONES MATRIMONIALES, Volumenes 6,7,8 (boards at 1057, 1459/1460, 1827/1828). 479-1056 absent.
8166578	1 image(s): 2531	Canelones. Indice de matrimonios (entry at image 2531) AND Matrimonios Libro I from image 2590 - THE 1791 MARRIAGE ACT IS AT IMAGE 2687.
8166632	1 image(s): 2672	not yet identified - resolve from an image Information panel
8181806	1 image(s): 17	not yet identified - resolve from an image Information panel
8186899	1 image(s): 40	not yet identified - resolve from an image Information panel
007499043	*** 1 to 3208 *** (last image established by binary probe on the public thumbnail). Held so far: *** 00001 *** leader, *** 00004 *** board, *** 02724 *** board, *** 02725 *** board, *** 02771 *** Maria Llerena.	*** ARCHIVO GENERAL DE LA NACION, MONTEVIDEO - 'PADRONES DE MONTEVIDEO Y EXTRAMUROS'. *** An entire reel of Montevideo censuses, in numbered *** volumenes ***, each covering one or more *** Libros ***: *** volumen 1 = Libros 2 y 334 *** (board at image 00004, filmed 29 Mar 2006); *** Libro 107 *** closes at image 02724; *** volumen 15 = Libro 256 *** opens at image 02725 (filmed 5 Apr 2006) and holds *** MARIA LLERENA, 60, Espanola, head of Casa 2, at image 02771. *** Project *** URUG NA01S, rollo 1 ***, photographer Cesar Graziani, 42X. *** The film leader gives the OLD MICROFILM NUMBER: 1263678. *** *** NEW TO THIS ARCHIVE - it was not among the 58 DGS numbers audited on 17 September ***, because nothing here had opened the Uruguayan census collection. *** MAPPED 20 September 2026 - eighteen DARK-FRAME CLUSTERS (candidate boundaries; a board is only one kind of dark frame) at images 4, 91, 125-127, 315, 563-565, 787, 959, 1073, 1215, 1315, 1475-1477, 1573-1575, 1847, 1961-1963, 2027, 2155, 2425, 2724-2725, found by measuring thumbnail brightness (boards 16-30, pages 140-156). *** See data/film-7499043-map.tsv. *** COMPLETED the same day: FIFTEEN VOLUMES, every boundary confirmed. *** Title boards at images 4, 126, 315, 563, 788, 959, 1215, 1315, 1475, 1574, 1847, 1962, 2155, 2425, 2725; each preceded by the FIN board of the volume before. Libros known for volumes 1 (2 y 334), 12 (465 y 255), 14 (107) and 15 (256).
