# *** THE 20 SEPTEMBER FAMILYSEARCH SESSION - three questions put, and the controls mattered more
# than two of the answers. *** Signed in again after being out since the 17th.
finding	what was searched	result	verdict
*** THE BRETONS WHO STOOD BY PROXY ARE NOT IN THE RECORDS BESIDE A LERENA ***	Row 105. Surname *** BRETON exact *** with *** spouse surname LERENA exact ***, all countries.	*** ZERO. *** Control, identical form: surname *** SALVANACH *** with spouse surname *** LERENA *** returns *** 19. *** The form works.	*** A TESTED NULL, and it does not kill the lead - it narrows it. *** Jose and Maria Luisa Breton stood godparent to Roque *** by proxy *** in 1911, and proxy is what a parish writes when the sponsors are overseas. *** They did not marry into this family ***, so if they are connected it is as friends, employers or compatriots rather than kin. *** Look for them beside Lerena in Argentine records, not in marriages. ***
*** ROQUE WAS BAPTISED AT FIVE AND A HALF, THREE MONTHS BEFORE HIS PARENTS MARRIED ***	Row 35, read out of this archive's own files rather than off the wire.	Born *** 25 Nov 1905 *** (register) or *** 6 Dec 1905 *** (death notice); baptised *** 12 June 1911 *** at Corpus Christi, Wynberg. His parents married *** 3 September 1911. ***	*** SO 'CAPE TOWN' AS HIS BIRTHPLACE IS AN INFERENCE FROM WHERE HE WAS BAPTISED SIX YEARS LATER, not an attested fact ***, and the register states it flatly. *** The pattern is legitimation: *** a child baptised weeks before his parents' wedding, with his mother entered as *** 'Mary Septima olim Taylor'. *** *** Row 35's question stands open and is sharper for it - a child born in 1905 to an unmarried Argentine in the Cape could have been born anywhere. ***
*** THE 1877 MARRIAGE MAY UPGRADE GILBERTO'S PARENTS FROM 'TREE' TO 'DOCUMENTED' ***	Found while running the Salvanach CONTROL, not while looking for it. Marriage of *** Gilberto Lerena and Julia Salvanach, 11 August 1877, San Francisco de Asis, Ciudad Vieja, Montevideo *** - index ark 1:1:X9PV-HKCR, *** image ark 3:1:3Q9M-C9BW-N74V-N. ***	The index gives the bride's parents-in-law - that is, *** Gilberto's parents *** - as *** 'Luis Lenguas' and 'Justiniana Lenguas'. ***	*** 'Luis Lenguas' is almost certainly a machine garble of LUIS LERENA, husband of JUSTINIANA LENGUAS *** - which is exactly the couple this archive already believes Gilberto Justiniano LERENA LENGUAS belongs to, *** but holds only at TREE tier. *** *** A parish marriage register would move it to DOCUMENTED. *** *** NOT CLAIMED YET: the page says 'This record was indexed by a computer', and this archive does not promote a claim on an index. Read the image. ***
*** AND THE SAME INDEX CONTAINS AN OBVIOUS GARBLE, WHICH IS WHY ***	The same record gives the bride *** Julia Salvanach *** a father named *** 'Cristobal Lerena' *** and a mother *** 'Angela Alvarez'. ***	-	*** A bride surnamed SALVANACH does not have a father surnamed LERENA while marrying a Lerena. *** The two families have been crossed by the machine. *** No Cristobal Lerena is being added to this register on the strength of it *** - and the fact that one half of this record is visibly wrong is the whole argument for opening the image before trusting the other half.
*** THE SANTA FE HOUSEHOLD HAS A SECOND CHILD, AND A SECOND PROVINCE ***	Row 154. *** Casimiro Lerena *** with surname exact, Argentina: 7 records.	*** CASIMIRO LERENA and AMELIA LEPIANI *** (indexed once as *** 'Lapriani' ***) have *** Armando Lerena *** in the Santa Fe church records and *** VENTURA AMELIA ARGENTINA LERENA *** in the *** Entre Rios *** church records.	*** So this is not a Santa Fe household - it is a littoral one, in two provinces. *** *** Entre Rios is where Gilberto and Julia Salvanach's 1885 child also sits ***, so the province is worth mapping in its own right. *** Still attached to Pablo Armando by nothing whatever ***, and the only thing that ever recommended it was the forename Armando. *** That is not evidence and it is still not being treated as any. ***
*** THE TWO BROTHERS MARRIED AT THE SAME CHURCH, THIRTEEN YEARS APART ***	A parent-pair query on the couple the 1877 image documented: father *** Luis ***, mother *** Justiniana ***, surname Lerena, Uruguay.	*** Luis Lerena, groom, 19 December 1864 *** , San Francisco de Asis, Ciudad Vieja, Montevideo - spouse *** Julia Juanico ***, parents indexed *** 'Justiniana Loupuan, Luis Lorena Languas'. *** And *** Gilberto Lerena, groom, 11 August 1877 ***, the same parish - spouse *** Julia Salvanach ***, parents indexed *** 'Luis Lenguas, Justiniana Lenguas'. ***	*** Two brothers, one parish, thirteen years apart - which is structural corroboration of what the image already said outright. *** *** Note how badly the machine renders the father every time: 'Luis Lorena Languas', 'Luis Lenguas', 'Luis'. *** The surname collapses into the mother's on both entries, which is precisely why the parentage could not be trusted until the page was opened. *** No further siblings could be enumerated: the fuzzy parent-pair search returns 1,254 and is too noisy to close a sibling set. ***
*** THE personas API RETURNS A CORPUS SIZE, NOT A MATCH COUNT - AND IT CAN NEVER RETURN ZERO ***	Reached for the evening's tests through *** /service/search/hr/v2/personas ***, which answers while the ordinary pages are slow. Probed it against itself before trusting a single number.	*** THE `results` FIELD IGNORES THE GIVEN NAME AND THE SPOUSE ENTIRELY. *** Surname Lerena in Uruguay: *** 8549 ***. Add givenName=Fidel: *** 8549 ***. Add spouseSurname=Rueda: *** 8549 ***. A control with wholly different parameters - Luis, spouse Julia Juanico - also *** 8549 ***. It moves only for the SURNAME and the COUNTRY: Argentina 6032, no country 589678, surname exact 1652. *** And an invented surname, Zzzqqxx, returns 102. ***	*** NO NULL MAY EVER BE DRAWN FROM THIS ENDPOINT, *** because it has no zero to give. The added parameters re-rank the entries - Fidel's records do come to the top - but they do not filter, so the count is the size of the fuzzy pool and nothing else. *** THIS IS NOT THE SEARCH UI. *** The Breton query at the head of this file got a real ZERO from a spouse-surname search on the same day, which this endpoint is incapable of returning, so the two paths behave differently and *** the nulls recorded elsewhere in this archive are not touched by this. *** Use the endpoint to LOOK, never to COUNT.
*** THE FIDEL TEST IS STILL UNRUN, AND NOW IT IS UNRUN FOR A STATED REASON ***	Reviewing the duplicate backlog named a cheap test: a Montevideo marriage of *** FIDEL LERENA to MARIA RUEDAS ***, which would decide whether the Fidel of the 1889 death registration is Sancho's son. Put to the personas endpoint with the spouse surname both as Rueda and as Ruedas.	*** NOT ANSWERED, because the endpoint does not filter on a spouse. *** What it did return is worth keeping: the only two Fidel Lerenas it surfaces in Uruguay are *** the 1889 Victor Lerena death registration this archive already holds *** - which names Fidel Lerena, Maria Rueda and Victor's father *** Pedro Lorena ***, and gives Victor's birth as 1861 against a death on 10 October 1889, confirming the twenty-eight years - and one unrelated Cordon entry of 1842.	*** OPEN, and the pair stays undeclared on purpose. *** The test must be re-put through the search UI, where a spouse surname genuinely filters. Nothing here moves Fidel closer to or further from Sancho.
*** THE FIDEL TEST IS RUN AT LAST, THROUGH THE UI, AND BOTH HALVES COME BACK EMPTY ***	Re-put through the search UI, where a spouse surname genuinely filters. *** CONTROL FIRST: *** LERENA + LUIS + spouse surname JUANICO, Uruguay - *** 471 records, and the marriage act of 19 December 1864 at San Francisco de Asis is the FIRST RESULT. *** So the filter works and a real marriage surfaces at rank one.	*** NO MARRIAGE OF FIDEL LERENA TO MARIA RUEDA OR RUEDAS. *** The same query on Fidel returns 331 records and the only Fidel in them is *** the 1889 Victor Lerena death registration this archive already holds ***. *** AND NO BURIAL EITHER: *** LERENA, FIDEL, Uruguay, deaths 1815-1840 returns 11 records and none is he.	*** A TESTED NULL ON BOTH, AND IT CUTS THE OTHER WAY FROM WHAT WAS EXPECTED. *** The trees give Sancho's Fidel a death in 1822, and that death was the one thing that would have kept the two Fidels apart. *** It is not in the indexed record. *** So it cannot be used to separate them, and the pair stays open for a tested reason instead of an untested one. *** This is absence from an INDEX, not absence from the registers. ***
*** AND THE BURIAL WINDOW WAS CONTROLLED BEFORE THAT NULL WAS WRITTEN ***	An empty-looking window is usually an unindexed window. Asked the same range for a common surname: *** RODRIGUEZ, Uruguay, deaths 1815-1840. *** And for the family surname alone: *** LERENA exact, same window. ***	*** RODRIGUEZ RETURNS 62,026 ***, with real burials on the first screen - Las Piedras 1840, San Jose de Mayo 1844, Canelones 1840. *** LERENA exact returns 190. *** The window is populated.	*** SO THE FIDEL NULL IS A NULL AND NOT AN EMPTY SHELF. *** Uruguayan Catholic burial registers of the 1820s and 1830s are substantially transcribed, and he is not in them under that name. *** The sweep also paid for itself twice over: *** the top Lerena hit in that window was the Cordon burial that dissolved a fifth compound-surname candidate and handed this archive a household it did not have.
*** A SHARED BAPTISM DATE IN THIS FAMILY DOES NOT MEAN TWINS - AND TWO BIRTH DATES WERE SITTING IN AN ACT ALREADY READ ***	Followed the new JUSTO LERENA to see whether anything placed him, and the search printed a birth date beside a baptism for somebody else entirely: *** Alfredo Justiniano Lerena, christened 12 March 1858, BORN 2 OCTOBER 1856. *** Opened the image - film 007713686 image 2847 - and read both acts on the opening.	*** ALFREDO: "que nacio el dia DOS de OCTUBRE ... cincuenta y seis". ANA ROSARIO: "que nacio el dia CATORCE de ENERO ... cincuenta y cinco". *** Born *** 2 October 1856 *** and *** 14 January 1855 ***, baptised together at seventeen months and three years. The register had *** 1858-03 for both ***, which is the baptism date in the birth column, and called them *** "probably twins" ***.	*** TWO DATES CORRECTED AND AN INFERENCE KILLED. *** They are twenty-one months apart. *** And it dissolves a puzzle this archive had blamed on the record: *** Alfredo's row said his 1858 baptism "sits oddly" against the 35 he gave at his 1892 marriage. A man born 2 October 1856 is exactly thirty-five on 3 February 1892. *** The same untested "probably twins" is attached to the two MORATORIO girls of 1880 and is now flagged there. *** This family baptised in batches years late at least twice - La Mauricia 1846 and San Francisco de Asis 1858.
*** JUSTO LERENA EXISTS IN EXACTLY ONE RECORD ON EARTH ***	Surname LERENA *** exact ***, forename JUSTO. Uruguay: 39 records. Then worldwide with spouse surname QUINTANA: 220 records.	*** THE ONLY RECORD OF HIM ANYWHERE IS HIS DAUGHTER'S BURIAL *** - the Cordon act of 14 August 1841 that this archive read the same evening. No marriage to Juana Quintana, no baptism of his own, no second child. The other Justo Lerenas are two Montevideo passengers of 1910 and 1913, born 1882 and 1879, and a Florida resident born 1976.	*** A CONTROLLED NULL: the queries returned 39 and 220 records, so they ran. *** He is a man attested by one line in one register, and he can be neither placed against Sancho nor ruled out.
*** AND THE RENDERED "(0)" CAUGHT ME THREE TIMES IN ONE SITTING ***	Three separate searches - JUSTO exact, ALFREDO JUSTINIANO with a birth range, and the first Gilberto sweep - each read *** (0) *** on first load.	*** THEY WERE 39, 80 AND 63. *** The page renders its heading before the results arrive, every time, and the zero is the heading talking to itself.	*** READ TWICE, ALWAYS. *** This is in the archive's habits already and it still nearly produced three false nulls in one evening. A first-load zero from this interface is not data.
