# *** THE CANELONES INFORMACIONES MATRIMONIALES, WALKED BY IMAGE NUMBER. 15 September 2026. ***
# DGS 8166573. Every date below was read off the image itself, at magnification, in this session.
# Nothing here is an index entry or a tree. Where a year was ambiguous it was re-read before it was written down.
image	what is on it	date read from the page	what it means
*** THE INFORMACIONES MATRIMONIALES OF CANELONES, WALKED. 15 September 2026. ***	*** DGS 8166573 - 'Informaciones matrimoniales, Carpetas 1-6, 1776-1806' ***	-	*** READ END TO END BY STRUCTURE, NOT PAGE BY PAGE. *** The reel was entered at the one image this archive already had - Sancho Llerena giving sworn evidence at somebody else's wedding - and then mapped by its filming targets and the archivist's pencil dates. *** THE HEADLINE: the series does not cover January 1791. *** It runs to November 1790, breaks at a volume seam, and resumes in March 1791. Sancho married on 8 January 1791. His own expediente is not in this series, and that is a gap in the filming, not a gap in the looking.
2167	*** SANCHO LLERENA, SWORN WITNESS - READ IN FULL ***	9 January 1798	*** THE ONLY DOCUMENT IN THIS SERIES THAT NAMES HIM, AND IT IS NOW READ. *** Marginal note: *** '2.do / Sancho Llerena' ***. The text: 'Seguidamente Continuando dicha informacion, Florentino Gomez presento por testigo en esta Vicaria a Sancho Llerena, a quien se le recivio Juramento que lo hizo arreglado a d[e]r[ech]o... dixo: que Con motivo de haver andado el declarante *** en la Linea de Vicaria algunos anos ***, que Conocio en aquel parage a Florentino Gomez...'. He testifies that he has never heard the groom promise himself to any other woman. *** HE IS THE SECOND OF THE TWO WITNESSES, NOT THE GROOM *** - the archive's earlier note left that open.
2168	*** THE CLOSE OF SANCHO'S DEPOSITION - AND A HARD NEW FACT ***	9 January 1798	*** SANCHO LLERENA COULD NOT WRITE. *** The deposition ends: 'y no la firmo *** porque dixo no saver escrivir ***, y la firmo su Merced Conmigo el presente Notario que de ello doy fee.' Signed off by *** Josef del Rio, Notario Ecclesiastico ***. *** THIS IS A PRIMARY FACT ABOUT SANCHO HIMSELF, ON A PARISH DOCUMENT, AND IT IS NEW. *** It also means no Sancho signature survives to compare against anything - and it sits oddly beside the 1811 baptism calling him 'Don Sancho Llerena'. *** An illiterate 'Don' is a man whose standing came from somewhere other than schooling. ***
2166	*** THE DATE OF THE EXPEDIENTE SANCHO WITNESSED ***	9 January 1798	'...y nueve dias del mes de Enero de mil setecientos *** Nobenta y ocho *** anos', and lower on the leaf 'Villa de los Canelones, a nueve dias del mes...'. *** THE YEAR WAS CHECKED AT MAXIMUM MAGNIFICATION BEFORE IT WAS BELIEVED *** - a linear reading of the reel would have predicted 1791 at this image, and 'noventa' against 'ochenta' is exactly the trap that has cost this archive time before. The capital N is unambiguous. The decree names the venue: *** 'la Santa Iglesia y Matriz de esta Villa de Nuestra Senora de Guadalupe de los Canelones' ***.
1057	*** FILMING TARGET - THE START OF THE SERIES ***	-	A Genealogical Society of Utah board: 'LOCALIDAD QUE CUBRE EL REGISTRO: *** PQUIA. NRA SRA DE GUADALUPE, CIUDAD DE CANELONES *** / TITULO DEL REGISTRO: *** INFORMACION MATRIMONIAL *** / VOLUMEN: *** 6 ***', roll 23, camera 50581, reduction 42X, photographer Cesar Graziano. *** NO DATE RANGE IS PRINTED ON THE BOARD *** - the dates below were all read off the documents.
1057-3295	*** THE EXTENT OF THE REEL ***	-	*** 2,239 images, and nothing outside that range exists. *** Established by asking the image service for each numbered image in turn. *** CORRECTED 15 September 2026, LATER THE SAME DAY: this was WRONG, and wrong by sampling. *** The original probe tested images 1, 500 and 1000, all three of which happen to fall in a gap, and concluded that nothing below 1057 exists. *** The film actually has TWO blocks: images 72-478 and images 1057-3295, with 479-1056 absent. *** *** Block one is the Canelones BAPTISM register, 'Baptism Records June 1776 - February 1794' *** - a different item entirely, and one this archive had an ark into all along. *** Three samples are not a survey. ***
1459 / 1460	*** A VOLUME SEAM - TWO TARGET BOARDS BACK TO BACK ***	-	*** THIS IS THE FINDING THAT EXPLAINS EVERYTHING ELSE. *** Board '6' at 1459, board '7' at 1460. *** VOLUMEN 6 = images 1057-1459. VOLUMEN 7 = images 1460-1827. VOLUMEN 8 begins at 1828 *** (boards '7' and '8' sit at 1827 and 1828 the same way). The dates restart at each seam, which is why the reel looked wildly uneven until the seams were found: 1776-1790 in volume 6, then 1791-1795 in volume 7.
1461	*** A FILMING CONDITION CARD - AND A WARNING ***	-	'Volumen Entero: Manchas de Tinta. Paginas Manchadas. Escritura Poco Legible. Paginas Rotas. *** HOJAS SUELTAS ***.' *** LOOSE LEAVES. *** The volume is not a bound book but a folder of separate sheets, so its order is the order somebody filed them in, and it is not guaranteed to be chronological. *** That is the one reason not to treat the January 1791 gap as absolutely final. ***
1060	*** THE FIRST DATED LEAF OF VOLUMEN 6 ***	1776	The archivist's pencil, boxed, in the margin: *** '1776' ***. *** THE PENCIL YEARS ARE THE KEY TO THIS REEL *** - a later hand has written the month and year in the margin at the head of most expedientes, and they can be read at a glance where the Spanish date line cannot.
1438	*** A DATED EXPEDIENTE HEAD, LATE IN VOLUMEN 6 ***	8 January 1788	Boxed pencil *** '1788' ***, and the decree agrees: 'a ocho de Enero de mil setecientos ochenta y ocho a[nos]', before *** Don Juan Miguel de Laguna, Cura Vicario y Juez Ecclesiastico *** of the villa. The petitioner is Juan Bautista Correa of Paraguay, marrying Maria Cayetana Parrilla of Montevideo. *** Note the form: these petitions give the groom's parents, birthplace and years in the country - which is precisely why Sancho's would have been worth so much. ***
