# *** THE SIXTH CHILD WAS A JUEZ DE PAZ. ***
# Found 14 September 2026 by full-text searching the compound surname LERENA JUANICO - which nobody
# had done, because this archive had only ever searched LERENA.
#
# Thirty-five documents in the Montevideo civil marriage registers of 1902-1914 carry the formula:
#   *** "Por ante mi JULIO LERENA JUANICO, JUEZ DE PAZ y OFICIAL DEL ESTADO CIVIL de la Primera
#        Seccion del Departamento de Montevideo" ***
# One was opened and read in full: Maronas, 28 August 1909, the marriage of Perfecto Bustos and Rosa
# Arcas - ark 3:1:3Q9M-CS2W-2SKF-F.
field	what it shows	how sure
Who	*** JULIO LERENA JUANICO *** - the compound surname of the children of Luis Eugenio Lerena Lenguas and Julia Juanico	The surname pair is this family's and no other in the archive.
Office	*** Juez de Paz and Oficial del Estado Civil, PRIMERA SECCION del Departamento de Montevideo *** - the magistrate who performs and registers civil marriages	PRIMARY - his title is in the body of every act he signs.
Span	At least 1902 to 1914, across two register series	Thirty-five documents.
*** Which child he is ***	*** JOSE JULIO LERENA JUANICO, born 15 March 1879 *** - the sixth child, and the ONLY Julio among the seven	*** STRONG BUT NOT PROVED. *** No act read so far gives the judge's own parents or birth date. The identification rests on a rare compound surname, the right city, and the right age - he would be 30 in 1909.
#
# *** AND IT EXPLAINS THE ODDEST THING IN HIS RECORD. ***
# Jose Julio was born in March 1879 and his birth was not registered until 14 SEPTEMBER 1908, when he
# was twenty-nine - a late registration this archive noted as "the kind a man makes to produce proof
# of birth for his own wedding". *** A man appointed JUEZ DE PAZ AND OFICIAL DEL ESTADO CIVIL needs
# documentary proof of his own birth rather more than a bridegroom does. *** His mother, a widow of
# sixty-four, walked into the Juzgado de Paz herself to swear it.
#
# WHAT IT ADDS TO THE PICTURE. This family now holds, on the record: a GENERAL (Pedro Lenguas), an
# ABOGADO (Candido Juanico), a HACENDADO (Luis Eugenio), a PROFESSOR OF PHILOSOPHY by marriage (Jose
# Pedro Massera), the co-founder of the ARGENTINE STUD BOOK (Gilberto), a president at the font
# (Fructuoso Rivera, 1831), an ORIBE for a bride (1836) - and now a JUDGE.
#
# *** AND STILL NO JUAN CARLOS. *** Every one of these people is documented and none of them is
# Pablo Armando's father.
