# THE LERENA LENGUAS OF MONTEVIDEO - assembled 13 September 2026, after the Rosario act of 1866
# named the parents of the only Lerena in that parish as "naturales del E. Oriental".
#
# *** EVIDENCE WARNING, READ IT. *** Only the rows marked PRIMARY rest on a document this archive has
# opened. Everything marked SECONDARY comes from user-submitted genealogy (Geneanet, Geni, MyHeritage)
# or from a genealogical blog, none of which cites its sources in a way that can be checked from here.
# They are recorded because they agree with each other and with the primary act - not because they are
# proved. Nothing here is a link to Pablo Armando Lerena, and none of it may be cited as one.
#
person	dates	relation	tier	source	note
Gen. Pedro LENGUAS Grandal	-	-	SECONDARY	El Patriciado del Rio de la Plata (blog), May 2016	Father of Justiniana. A Uruguayan general.
Maria del Carmen GONZALEZ Grandal	-	2nd wife of Gen. Pedro Lenguas	SECONDARY	same	Mother of Justiniana and of Sixta.
Justiniana LENGUAS Gonzalez	-	m. Luis Lerena Fernandez	SECONDARY	same; Geneanet	"segunda mujer de Luis Lerena Fernandez, viudo de Carolina Oribe Ladron de Guevara"
Luis LERENA y Fernandez	1811-1878	m. (2) Justiniana Lenguas Gonzalez	SECONDARY	Geneanet (jfina tree)	*** Almost certainly the "Don Luis Lerena" who stood godfather BY PROXY at Rosario in February 1866, represented by Don Claudino Campos. He would be the child's paternal grandfather, and he was in Montevideo. ***
Carolina ORIBE Ladron de Guevara	-	1st wife of Luis Lerena Fernandez	SECONDARY	El Patriciado (blog)	An Oribe - the family of Manuel Oribe, President of Uruguay.
Sixta LENGUAS Gonzalez	m. 1857	sister of Justiniana	SECONDARY	El Patriciado (blog)	Married Dr. Candido Juanico. So Lenguas married BOTH a Lerena and a Juanico in one generation.
Dr. Candido JUANICO	-	m. Sixta Lenguas Gonzalez 1857	SECONDARY	El Patriciado (blog)	"abogado, magistrado, legislador, y hombre politico"; son of Francisco Juanico and Juliana Texeira.
#
# --- THE GENERATION THAT MATTERS: the children of Luis Lerena Fernandez and Justiniana Lenguas ---
#
Luis LERENA LENGUAS	-	son	PRIMARY	Rosario baptism act 1541, folio 229, 17 Feb 1866	*** NAMED IN THE ACT as father of the child, "natural del E. Oriental". Married Dona Julia Juanico. ***
Gilberto Justiniano LERENA LENGUAS	1855-05-24 to 1912-12-08	son	SECONDARY	Geni; Wikipedia (Gran Premio Gilberto Lerena); and PRIMARY for his household in the 1895 Argentine census	*** ALREADY IN THIS ARCHIVE, arrived at independently from the 1895 Buenos Aires census. Co-founder of the Argentine Stud Book; the Palermo Group 1 renamed for him in 1914. Married Julia Salvanach. THE TWO ROUTES MEET HERE. ***
Felipe LERENA LENGUAS	-	son	SECONDARY	Geneanet (jfina tree)	
Avelino LERENA LENGUAS	-	son	SECONDARY	Geneanet (jfina tree)	
Pedro LERENA LENGUAS	-	son	SECONDARY	Geneanet (jfina tree)	
Luisa LERENA LENGUAS	m. 1867	daughter	SECONDARY	Geneanet	Married Carlos Ambrosio Lerena y Traibel, San Francisco, Montevideo, 1867 - a Lerena cousin marriage.
Josefa LERENA LENGUAS	m. 1887	daughter	SECONDARY	Geneanet	Possibly the "Josefa Lerena de L., widow, b. Uruguay 1852" recorded near Gilberto's household in the 1895 Buenos Aires census.
Maria Luisa LERENA LENGUAS	-	daughter	SECONDARY	Geneanet	
Catalina LERENA LENGUAS	-	daughter	SECONDARY	Geneanet	Later Catalina Traibel.
Mercedes LERENA LENGUAS	-	daughter	SECONDARY	Geneanet	Later Mercedes Martinez.
#
# --- CHILDREN OF LUIS LERENA LENGUAS AND JULIA JUANICO ---
#
Maria Julia Margarita Josefa Emirena Justiniana LERENA LENGUAS	b. 1865-10-08, bapt. 1866-02-17	daughter	PRIMARY	Rosario baptism act 1541	Born and baptised at ROSARIO, not Montevideo. Her fifth name, JUSTINIANA, is her paternal grandmother's - which is how we know the Geneanet parentage and the act describe one family.
Emma Liseta LERENA	1876	daughter	SECONDARY	findmypast, "Uruguay Baptisms 1750-1900" (index only, read 9 Sep 2026)	Father Luis, mother Julia, place not stated. Recorded in this archive FOUR DAYS BEFORE the Rosario act was read, and unremarkable at the time. It is the same couple.
