note	film	dgs_image_group	images	comment
CATALOG	1093077-etc	koha:208788	71 rolls	"Registros parroquiales, 1722-1961" - Archidiocesis de Rosario, Iglesia Catolica, NUESTRA SENORA DEL ROSARIO (Rosario, Santa Fe). Filmed 1974. Some volumes carry their own index.
*** INDICE de Bautismos A-Z 1879-1900 ***	1093079	4530325	718	*** THE SHORTCUT. Covers 1882. Structure decoded below. Images NOT restricted. ***
Indice de Bautismos A-K 1731-1879	1093077	4530323		For an earlier generation.
Indice de Bautismos L-Z 1731-1879	1093078	4530324		*** Would hold LERENA entries before 1879 - i.e. Pablo Armando's OLDER SIBLINGS, and possibly his parents' own baptisms. ***
Indice de Bautismos A-Z 1901-1919	1093080	4530326		
*** INDICE de Matrimonios 1731-1761, 1860-1921 ***	1091466	4531036		*** WOULD FIND PABLO ARMANDO'S PARENTS' MARRIAGE - which names all four grandparents. Arguably better than the baptism. ***
Bautismos 1789-1813	1093082	4098784		
Bautismos 1815-1825,1828-1833	1093083	4098785		
Bautismos 1833-1843	1093084	4098786		
Bautismos 1844-1851	1093085	4098787		
Bautismos 1851-1857	1093086	4098788		
(David's film)		4098791	543	The register volume David was going to read page by page. The INDEX above should point straight at the folio, making that unnecessary.
Bautismos 1879-1882	1093093	4098792		Libro 24 and part of 25.
*** Bautismos 1882-1884 ***	1093094	4098791	543	*** THIS IS DAVID'S FILM. It covers exactly the years the index has now cleared. ***
*** Bautismos 1884-1886 ***	1093095	4098790	715	*** CONTAINS LIBRO 27 - its printed cover ("BAUTISMOS 27, PARROQUIA DE NTRA. SRA. DEL ROSARIO") is at IMAGE 4. ***
Bautismos 1886-1887	1093096	4098803		
Bautismos 1887-1889	1093179	4098802		
Bautismos 1889	1093180	4098801		
Bautismos 1889-1891	1093181	4098800		
Bautismos 1891-1892	1093182	4098799		
Bautismos 1892-1893	1093183	4098798		
Bautismos 1893-1895	1093184	4098823		
Matrimonios 1868-1884	1091470	4531040		*** Pablo Armando's parents' marriage would be here or in 4531039 (1853-1867). Names all four grandparents. ***
Matrimonios 1853-1867	1091469	4531039		
Matrimonios 1884-1891	1091471	4531041		
Defunciones 1864-1875	1091424	4531023		
