letter	1882_images	status	result_and_notes
A	11-12	COMPLETE	No Pablo Armando.
B	56-57	COMPLETE	No Pablo Armando. Lower halves of 56 blurred - small gap.
C	117-118	COMPLETE	No Pablo Armando. Note 'Chaparro / Pablo H. / f.67'.
D	190	COMPLETE	No Pablo Armando.
E	223	COMPLETE	No Pablo Armando. Note 'Eduardo / Paul (N.) / f.505'. EXPOSITO (foundlings) sits in this section and was read.
F	239-240	COMPLETE	No Pablo Armando. *** KILLS THE FERNANDEZ HYPOTHESIS. *** Note 'Funes / Armando / f.163'.
G	280-283	COMPLETE	No Pablo Armando. Note a 'Pablo J.' at f.568.
H	337	COMPLETE	No Pablo Armando.
I	346-347	COMPLETE	No Pablo Armando. Note a 'Pablo' at 1881 f.29 - wrong year.
J	357	COMPLETE	No Pablo Armando. Note 'Pablo (N.)' at 1884 f.118 - wrong year.
K	362-364	COMPLETE	*** K HAS NO 1882 ENTRIES AT ALL *** - the section jumps Libro 24 (1881) straight to Libro 26 (1883).
L	369-371	COMPLETE	No Lerena. 1883-1895 also read.
Ll	404	COMPLETE	No Llerena. Whole Ll section 1880-84 is seven entries.
M	419-421	COMPLETE	No Pablo Armando. A very large section running to about image 473.
N	476	COMPLETE	No Pablo Armando.
O	486	COMPLETE	No Pablo Armando. Note 'Pablo Eduardo' at 1882 f.555.
P	503-505	COMPLETE	No Pablo Armando. 1882 runs from Libro 24 f.367 (image 503) to Libro 25 f.257 (image 505). Note a surname-only entry 'Pablo / -- / (N.) / Libro 25 f.83' - the surname is Pablo and no given name was recorded.
Q	548-549	COMPLETE	No Pablo Armando. Whole letter is short. Note 'Quevedo / Juan B. Pablo / Libro 24 f.427'.
R	563-565	COMPLETE	No Pablo Armando. 1882 runs Libro 24 f.363 (image 563) to Libro 25 f.239 (image 565 left). Note 'Ronillon / Armando Juan / Libro 24 f.498' - the closest near miss in the whole sweep.
S	612-614	COMPLETE	No Pablo Armando. 1882 runs Libro 24 f.368 (image 612 right) to Libro 25 f.248 (image 614 left). Note 'Pedro Pablo' at Libro 25 f.237.
T	654	COMPLETE	No Pablo Armando. Whole 1882 band sits on one opening: Libro 24 f.364-577 then Libro 25 f.4-205.
U	678	COMPLETE	No Pablo Armando. Small letter - the entire 1882 band is eight entries on one page.
V	684-685	COMPLETE	No Pablo Armando. 1882 runs Libro 24 f.371 (image 684 right) to Libro 25 f.246 (image 685 right). Note 'Villarreal / Pablo del R. / Libro 24 f.559'.
W	705	COMPLETE	No Pablo Armando. The W section is arranged by Libro, a few lines each; 1882 has exactly one entry - 'Ward / Rosa / Libro 25 f.141'.
X	-	COMPLETE	*** THERE IS NO X SECTION. *** The index runs W to Y with no X heading at all.
Y	707	COMPLETE	*** Y HAS NO 1882 ENTRIES. *** The entire Y section is a single line - 'Yane / Maria / 1900 / f.289'.
Z	708	COMPLETE	No Pablo Armando. 1882 runs Libro 24 f.330-550 then Libro 25 f.14-246, all on one opening.
