index_film	dgs	image	page_side	libro	year	folios_read	result
Indice de Bautismos A-Z 1879-1900	4530325	369	right	24	1882	402-467	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	370	left	24	1882	471-567	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	370	right (top)	24	1882	574	NO LERENA (last 1882 entry of Libro 24: Liendos, Ramon Horacio)
Indice de Bautismos A-Z 1879-1900	4530325	370	right	25	1882	9-137	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	371	left	25	1882	138-249	NO LERENA (1883 begins at folio 268)
Indice de Bautismos A-Z 1879-1900	4530325	372	left	25	1883	457-540	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	372	left (lower)	26	1883	7-73	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	372	right	26	1883	75-209	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	404	right	23,24,25,26,27	1880-1884	all Ll- entries	NO LLERENA. The whole Ll- section for these years is 7 entries: Llanos, Llorca x3, Llanes, Llaurer, Llumar.
Indice de Bautismos A-Z 1879-1900	4530325	373	left	25	1883	210-299	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	373	left (lower) / right	26,27	1884	305-453; Libro 27 f.2-5	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	374	left	27	1884	12-100	NO LERENA -- but note "Ler / Maria / 1884 / folio 13"
Indice de Bautismos A-Z 1879-1900	4530325	374	right	27	1884	112-259	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	375	left	27	1884-85	268-359; 363-389	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	375	right	27	1885	392-541	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	376	left	27,28	1885	542-656; Libro 28 f.2-17	NO LERENA
Indice de Bautismos A-Z 1879-1900	4530325	376	right	28	1885	26-127	NO LERENA
