# *** WHEN WAS SANCHO LLERENA LAST ATTESTED ALIVE? 15 September 2026. ***
# This archive holds fourteen records that NAME him. Most of them a dead man could be named in.
# *** Only four require him to have been standing there, and the latest is 1812. ***
record	date	does it require him to be ALIVE?	why
*** Iglesia Matriz de Montevideo - godfather to Juana, daughter of Nicolas Benteno ***	30 June 1789	*** YES ***	A godparent stands at the font. He was in the room.
*** Canelones - sworn witness at Florentino Gomez's informacion matrimonial ***	9 January 1798	*** YES ***	He took an oath before the Vicaria and *** could not sign it ***. Read from the image this session, DGS 8166573 image 2167.
*** Canelones - confirmation records, standing as padrino ***	1804	*** YES ***	'Lopez padrino Sancho Llerena' - again physically present.
*** URUGUAY PADRON, calle San Juan No 60, household 59 ***	1812	*** YES - AND IT IS THE LAST ONE ***	*** A census enumerates the LIVING. *** He is returned as *** Sancho, 'andaluz', 45 ***, with Maria Fernandez 36, six children, his father-in-law Rodrigo Fernandez 63, and four enslaved people. *** This is the last document in the world that shows Sancho Llerena alive. ***
Canelones - baptisms of his children (1793, 1795, 1800, 1804, 1806)	1793-1806	*** no ***	He is named as the father. Fathers are named whether present or not, and the formula does not say.
Montevideo - baptism of his son Luis Escolastico	10 February 1811	*** no ***	Named as father. The act's value is elsewhere: it gives his parents and Andalucia.
Catedral - baptism of Lucinda Gregoria, his granddaughter	12 May 1827	*** no ***	Named as maternal grandfather.
Cordon - MARRIAGE of his daughter Justa Pastora	3 November 1830	*** no ***	*** A marriage act names the bride's parents whether living or dead. *** Some hands write 'difunto' and this one does not - which is suggestive and is not proof.
Cordon - baptism of Juan Facundo Frutuoso	13 December 1831	*** no ***	Named as grandfather.
Montevideo - Luis Lerena's marriage petition	3 September 1836	*** no ***	Named as the petitioner's father.
La Mauricia and S. Agustin - baptisms of great-grandchildren	1842-1850	*** no ***	Named as an ancestor, up to *** sixty-one years after his own marriage ***.
