# *** SANCHO OR FRANCISCO? THE ALTERNATION IS SYSTEMATIC, AND I CLOSED IT TOO EARLY. ***
# Assembled 14 September 2026, after a 1833 act reopened a question I had declared settled that
# same afternoon.
#
# THE CLAIM I MADE AND NOW WITHDRAW: that Luis Lerena's father is Sancho, attested in three original
# acts, against only two 1846 entries reading "Francisco" which describe themselves as later
# TRANSCRIPTS - and therefore "three originals against two copies is not a conflict".
#
# *** THAT REASONING DOES NOT SURVIVE THE 1833 ACT, WHICH IS AN ORIGINAL AND SAYS FRANCISCO. ***
record	date	how the father of the LERENA sibling is named	how it was read	is it an original?
Canelones - baptism of his daughter Dominga Josefa	15 May 1804	*** SANCHO LLERENA *** - "hija legitima de Sancho Llerena y de Maria Fernandez"	FamilySearch machine transcript (name list renders him SANCIO)	ORIGINAL
Canelones - confirmation records	1804	*** SANCHO LLERENA *** - godfather to "Jose, esclavo de Manuel Lopez"	FamilySearch machine transcript	ORIGINAL
Canelones marriage investigation files	1776-1806	*** SANCHO LLERENA *** - in person, a sworn witness	FamilySearch machine transcript	ORIGINAL
Cordon, Montevideo - baptism of Juan Facundo Frutuoso	13 Dec 1831	"Maternos: *** SANCHO LLERENA *** y Maria Fernandez"	FamilySearch machine transcript	ORIGINAL
*** Catedral de la Inmaculada Concepcion - baptism, Justa Pastora's second child ***	20-24 Oct 1833	*** "Maternos: Fran.co LERENAS y M.a Fernandez" ***	*** IMAGE READ 21 September 2026 - film 007713376 images 01176-01177. Until that day this row read "FRANCISCO LERINA" and was a MACHINE TRANSCRIPT. ***	*** ORIGINAL - and this is what breaks the tidy story, and it is no longer possibly a machine artefact ***
Montevideo - Luis Lerena's marriage petition to Carolina ORIBE	3 Sep 1836	"hijo legitimo de D. *** SANCHO LERENA *** y de Dona Maria Fernandez"	READ OFF THE IMAGE by this archive	ORIGINAL
Marriage of Luis Lerena and Justiniana Lenguas	3 Mar 1842	"hijo legitimo de D. *** SANCHO *** y Dona Maria Fernandez"	READ OFF THE IMAGE by this archive	ORIGINAL
La Mauricia, Villa de la Union - baptism of Luis Eugenio	7 Jan 1846	"Paternos: *** FRANCISCO *** y Maria Fernandez"	READ OFF THE IMAGE by this archive	TRANSCRIPT - "asi consta del Legajo conservado en este Archivo"
La Mauricia - baptism of Justiniana Mauricia Maxima	7 Jan 1846	"Paternos: *** FRANCISCO *** y Maria Fernandez" (hand less clear)	READ OFF THE IMAGE by this archive	TRANSCRIPT
S. Agustin, pueblo de la Restauracion - baptism of Alberto Octavio	7 Oct 1850	"Paternos: D. *** SANCHO *** y Dona Maria Fernandez"	READ OFF THE IMAGE by this archive	ORIGINAL
*** Iglesia Matriz de Montevideo - baptism of Juana, daughter of Nicolas Benteno ***	30 Jun 1789	*** SANCHO LLERENA *** - in person, as GODFATHER. *** THE EARLIEST RECORD OF THIS MAN ANYWHERE IN THIS ARCHIVE *** - fifteen years before Canelones 1804, and before his marriage. He is about 22.	*** IMAGE READ 21 September 2026 - film 007713375 image 00551; the act reads "fueron padrinos SANCHO LLERENA y JULIANA JOSEFA" ***	*** ORIGINAL, and the man is PRESENT at it ***
Catedral de la Inmaculada Concepcion - baptism of Lucinda Gregoria Ruiz de Carvallo	12 May 1827	"Nieta ... Materna de *** SANCHO LLERENA ***, y de Dona Maria Fernandez"	FULL-TEXT TRANSCRIPT READ; ark 3:1:3Q9M-C9B7-YSFQ-2	ORIGINAL parish entry
*** Cordon, Montevideo - the MARRIAGE ACT of Justa Pastora Llerena ***	3 Nov 1830	"hija legitima de *** SANCHO LLERENA *** y de Maria Fernandez *** TRESGUERRAS ***"	FULL-TEXT TRANSCRIPT READ; ark 3:1:3Q9M-C9B7-B3WZ-8	*** ORIGINAL - and it is his DAUGHTER'S OWN MARRIAGE, so the names were given by the family ***
La Mauricia - baptism of ALEJANDRO, son of AVELINO Lerena	7 Jan 1846	"Paternos: *** FRANCISCO *** y Maria Fernandez" - a THIRD act on the SAME PAGE, in the same hand, on the same morning	FULL-TEXT TRANSCRIPT READ; ark 3:1:3Q9M-C9BW-ZS62-J	*** NO - a later transcript from a legajo, and the THIRD such on one page ***
#
# *** WHAT IS ACTUALLY CONSTANT: MARIA FERNANDEZ. *** She is the wife in every single record, without
# exception, across seventy years and both spellings of the forename. Whoever the man was, he was
# married to her, and every one of these people is her child or grandchild.
#
# *** THE THREE EXPLANATIONS, and none is yet excluded. ***
# 1. A DOUBLE FORENAME - Sancho Francisco, or Francisco Sancho - with clerks using one or the other.
#    This is ordinary in the period and would explain everything without anybody being wrong.
# 2. TRANSCRIPTION, human or machine. Note the readings split ACROSS methods, not along them: the
#    machine read Sancho in 1831 and Francisco in 1833; I read Francisco in 1846 and Sancho in 1836,
#    1842 and 1850. So it is not simply that the machine is wrong, or that I am.
# 3. TWO MEN of the same surname, each married to a Maria Fernandez. The least likely, and not
#    excluded.
#
# *** UPDATED 14 September 2026, later: TWO MORE ORIGINALS, BOTH SAYING SANCHO, and both from 1804 -
# twenty-seven years earlier than anything else in this table. *** The count is now SIX records
# saying Sancho against TWO saying Francisco, and the two Francisco readings are the 1846 pair that
