# Every source this archive has actually consulted, in the order first used.
# This file is the source of truth; /sources/ is generated from it, so the page cannot
# fall behind the work again. It did once: the table sat unchanged from 10 to 13 Sep 2026
# while three days of reading went unrecorded, under a heading claiming to list everything.
#
# tier: PRIMARY = a document image was opened and read here
#       SECONDARY = an index, a user-built tree, or a published account
#       REFERENCE = statistics, encyclopaedias, background
source	used_for	accessed	tier	link
Ejercito Argentino - Fichas de enrolamiento, Cajon 985 (Lera), FamilySearch image group #112342450, image 665 of 1,119; ark 3:1:3QHK-MQL4-NQWN	*** THE PARENTS OF PABLO ARMANDO LERENA: Juan Carlos Lerena and Maria Lerena. *** Also his conscript class (1882), his birthplace as stated to the army (Rosario de Santa Fe), and the enrolling office (Capetown)	10 Sep 2026	PRIMARY	https://www.familysearch.org/ark:/61903/3:1:3QHK-MQL4-NQWN
Rosario cathedral, Indice de bautismos 1879-1900 - DGS 4530325	The three-year sweep, every letter 1881-83; then the whole L and Ll sections read end to end, 1879-1901. No Pablo Armando.	8-10 Sep 2026	PRIMARY	https://www.familysearch.org/search/film/004530325
Rosario cathedral, Indice de bautismos before 1879 - read image by image, 6 to 85	The L section for 148 years. *** ONE Lerena in the whole of it *** - Libro 15 folio 229, act 1541 of 1866.	12-13 Sep 2026	PRIMARY	https://www.familysearch.org/search/film/004530325
Rosario cathedral, Libro 15 folio 229, act 1541 (1866)	The act itself, opened and read: the parents are "naturales del E. Oriental" - URUGUAYAN. The one Lerena baptism in Rosario before 1879 is not a Rosario family.	13 Sep 2026	PRIMARY	
Rosario cathedral, Libro 24, Bautismos 1881-1882 - film 004098792	The register ITSELF read act by act, acts 113-862: 750 baptisms, February to 22 July 1882, every margin. Index and register agree everywhere, so the 1945 typescript can be trusted.	10-13 Sep 2026	PRIMARY	https://www.familysearch.org/search/film/004098792
Rosario cathedral, Indice de defunciones 1800-1888	The death index opened for the first time. Both surviving L sections are empty, and *** the 1840-1881 sequence has no L section at all *** - the book runs A to F and stops mid-alphabet.	13 Sep 2026	PRIMARY	
Rosario cathedral, Matrimonios 1868-1884 (Libro 8) - DGS 4531040; Matrimonios 1884-1891 - DGS 4531041; Indice de matrimonios 1731-1761, 1860-1921 - DGS 4531036	No Lerena marriage at Rosario 1867-1885, read again at full resolution. All of 1884 read act by act. Where the Lavena candidate came from.	8-11 Sep 2026	PRIMARY	https://www.familysearch.org/search/film/004531040
San Francisco de Asis, Ciudad Vieja, Montevideo - Religious Marriage Records 1863-1875, act 258	*** THE MONTEVIDEO HOUSEHOLD OPENED: *** the marriage of Luis Lerena Lenguas and Julia Juanico, 19 December 1864.	13 Sep 2026	PRIMARY	
Uruguay, Civil Registration 1879-2020 - Montevideo certificate No. 357 of 1910	Julia Juanico's death, 11 July 1910, a WIDOW - which dates Luis Eugenio's death to between 1880 and July 1910. Five children named; Juan Carlos is not among them.	13 Sep 2026	PRIMARY	
Arquidiocesis de Montevideo - Marriage Dispensation Records 1856-1932	Juan Carlos Gonzalez Lerena, dispensed from the three canonical banns on 8 November 1922. Born 1899. NOT OURS - the register was read rather than assumed.	13 Sep 2026	PRIMARY	
Uruguay census and parish records - Sancho Llerena, six records	Sancho moved out of the family tree and into the records. Birthplace "Andaluzia"; six records spell him Llerena, Lerena, Sancio and Lorena, with the same wife Maria Fernandez throughout.	13 Sep 2026	PRIMARY	
FamilySearch FULL-TEXT search - the River Plate density measurement	LERENA Ar 701 / Uy 4,517 against LLERENA Ar 3,415 / Uy 947, with Fernandez and Bustamante as controls, both running Argentina-heavy. *** Lerena is the only one that reverses. *** Also established that Santa Fe is NOT in the full-text corpus, while Montevideo and Buenos Aires are.	13 Sep 2026	PRIMARY	https://www.familysearch.org/search/full-text
Argentina, Santa Fe, Catholic Church Records 1634-2003	No Lerena marriage at Rosario 1868-1891; the first Lerenas in the city, at Santa Rosa de Lima, 1903 and 1918	8 Sep 2026	SECONDARY	https://www.familysearch.org/search/collection/1974196
Argentina, National Census 1869 and 1895; Rosario census film 004331984	Bartolome Llerena in Rosario in 1869, image 86; no Lerena in Santa Fe in 1895	8-9 Sep 2026	PRIMARY	https://www.familysearch.org/search/film/004331984
Argentina, Baptisms 1645-1930	TWO Lerena baptisms in the whole indexed country	8 Sep 2026	SECONDARY	
Uruguay - Civil Registration 1879-2020, Catholic Church Records 1726-2000, Baptisms 1750-1900	The Trinidad, Montevideo and Colonia kindreds - and no Pablo Armando in any of them	8-9 Sep 2026	SECONDARY	
Argentina, Entre Rios, Civil Registration 1833-1965	The four-generation Larena family at Gualeguaychu	9 Sep 2026	SECONDARY	
Spain - Baptisms 1502-1940, Catholic Church Records 1307-2005, provincial municipal registers	No Pablo Lerena born 1882; *** no Armando Lerena, ever ***	9 Sep 2026	SECONDARY	
LDS Church Census Records (Worldwide) 1914-1960 - South African Mission, 1935	Ricardo Juan Carlos Lerena, b.1920, Claremont C.P.; Nuno Fernando Lerena, b.1924, Wynberg C.P. - the family placed by suburb in the year Mary Septima died	10 Sep 2026	SECONDARY	
findmypast - TNA BT26/BT27, censuses, British newspapers	Mary Septima's 1909 and 1935 voyages; her father the retired cavalry sergeant; her 1901 pupil-teacher notice in the Western Times	8-9 Sep 2026	SECONDARY	https://www.findmypast.com.au
NAAIRS - South African national archives	The 1950 estate MOOC 6/9/17017, the Koeberg Road stables, the divorces	8 Sep 2026	SECONDARY	https://www.nationalarchives.gov.za
ancestors.co.za - South African deceased estates	Death years for five of the family	8 Sep 2026	SECONDARY	https://www.ancestors.co.za
CEMLA - immigrant arrivals at Buenos Aires	Earliest Lerena arrival 1905, so his parents cannot be in it; Gilberto Lerena, 1928. The underlying MANIFESTS have never been seen - the search is CAPTCHA-gated and returns index rows, not images.	8 Sep 2026	SECONDARY	https://cemla.com/buscador/
Latin American Anarchist and Labour Periodicals Online, c.1880-1940 - IISH Amsterdam via De Gruyter Brill	Testing the family tradition that he fled Argentina as a communist. Searched by the institute's own archivist and again here, under Lerena and Lerina. No person of this family; the apparent hits are the Conde de Lerena of the 1787 census and a Montevideo street.	10 Sep 2026	SECONDARY	
WikiTree - the single shared public tree	Tested as a source and FOUND EMPTY: zero Lerena profiles, run twice. The Devon and Suffolk Taylors were searched too, since that line rests on one MyHeritage tree; the Worlingworth Taylors and Devon Brayleys are there, but every candidate profile has unknown parents.	13 Sep 2026	SECONDARY	https://www.wikitree.com/genealogy/LERENA
MyHeritage tree (David Defranceski)	The whole Taylor line - James Taylor c.1796 down to Mary Septima and her nine siblings. Almost every fact on that line still traces to this one tree, which is why independent corroboration was sought.	8 Sep 2026	SECONDARY	
MyHeritage DNA - the genetic groups	A third leg under Argentina, and an Italian hypothesis. Five further groups recorded, three of which argue AGAINST this archive's own hypothesis.	11 Sep 2026	SECONDARY	
Forebears	Worldwide and per-country distribution of Lerena - 2,124 bearers, Uruguay the densest; the Llerena variant and its 36,828 bearers	8 Sep 2026	REFERENCE	https://forebears.io/surnames/lerena
Wikipedia - Gran Premio Gilberto Lerena; Llerena, Badajoz; Basque surnames; Basque Uruguayans	Gilberto Justiniano Lerena Lenguas, the Argentine Stud Book, Haras El Viejo, and the 1914 renaming of the race; the two candidate origins of the name; Basque emigration to the River Plate from the 1820s	8 Sep 2026	REFERENCE	
NameCensus	Secondary account of the surname's origin. Treated with caution - such sites routinely assert etymologies without sources.	8 Sep 2026	REFERENCE	
Sporting Post and the South African racing press	Gavin Lerena in South African racing	8 Sep 2026	REFERENCE	
The Defranceski archive, and the Falco archive - this project's siblings	The MyHeritage tree title naming Lerena and Booyzen; Johannesburg as David's birthplace and the move to Brisbane. Two contradictions in this archive were caught by comparison.	8-12 Sep 2026	SECONDARY	
David Defranceski - family testimony	Cheryl Anne Lerena; the Argentine great-grandfather; Rosario; the consulship; the horses; the ostrich farm	8 Sep 2026	SECONDARY	
San Francisco de Asis, Ciudad Vieja, Montevideo - baptism act No. 1720, folio 470 (1886)	*** A SEVENTH CHILD, and four grandparents in one act. *** Candido Jaime, baptised 6 July 1886, "hijo legitimo de Don Luis Lerena Lenguas y de Dona Julia Juanico, orientales". Names the paternal grandparents Don Luis and Dona Justiniana Lenguas and the maternal Don Candido and Dona Juliana Gonzalez - which CLOSES the question of who Candido Juanico's wife was. Godparents: the baby's own eldest sister Maria and the man she married in this parish four months later.	13 Sep 2026	PRIMARY	
Uruguay Baptisms 1750-1900, Catholic Church Records 1726-2000 and Civil Registration - searched by BIRTHPLACE, Trinidad, Flores	The founding kindred of the surname, properly enumerated: seven fathers, their wives' surnames, and sixteen children. The mothers are the finding - *** Beloqui, Echeverry and Pelaez are Basque. *** Also disproved this archive's own claim that a daughter of the Montevideo trunk was baptised here.	13 Sep 2026	SECONDARY	
Uruguay, Civil Registration 1879-2020 - Montevideo marriage certificate No. 35 of 1922	The seventh child's marriage: Candido Lerena Juanico to Maria Concepcion Magarinos Pittaluga, 15 February 1922. Index-level.	13 Sep 2026	SECONDARY	
Uruguay deaths, surname LERENA, Montevideo 1880-1911, read down	*** A NEGATIVE, and a useful one: Luis Eugenio Lerena Lenguas is not in the indexed Uruguayan death registers at all *** - not in the 1,502 Montevideo rows, and not in the 1899-1903 window the FamilySearch Tree points at. His son Luis IS there, dead at 25 in December 1897.	13 Sep 2026	SECONDARY	
Uruguay, Civil Registration - Montevideo death certificate No. 216 of 24 December 1901	*** THE DEATH OF LUIS EUGENIO LERENA LENGUAS, closing a question this archive held open all day. *** Image read. Died at calle Suarez 25, el Paso del Molino, aged 56, "de profesion HACENDADO", of pulmonary tuberculosis; his mother Justiniana Lenguas alive at 79 in the same house. Found only by searching the MOTHER's name - FamilySearch indexes him as Luis SERENA Lenguas.	13 Sep 2026	PRIMARY	
Uruguay Catholic Church Records - searched on JUSTINIANA LENGUAS as mother	*** Four siblings of Luis Eugenio, and GILBERTO LERENA among them. *** Two independent records of Gilberto's own children give his parents as Luis and Justiniana Lenguas, which makes the co-founder of the Argentine Stud Book a brother of the man whose daughter was baptised at Rosario in 1866. Index-level; the images are not yet opened.	13 Sep 2026	SECONDARY	
San Francisco de Asis, Ciudad Vieja - baptism of Julia Juanico, 4 October 1843	*** HER BAPTISM, closing another question held open since the morning. *** Born 23 November 1842 at Montevideo; mother given in full as JULIANA JOAQUINA GONZALEZ; godparents D. Enrique Juanico and Mercedes Gonzalez. Index-level; image ark 3:1:3Q9M-C9BW-NLLP not yet opened.	13 Sep 2026	SECONDARY	
Uruguay collections searched on CANDIDO JUANICO as father	*** Confirms the two-wives inference this archive made from dates alone. *** Julia, b.1842, by Juliana Joaquina Gonzalez; and Sara, Zara Sista Emirena and Celia JUANICO LENGUAS, b.1866-69, by SIXTA LENGUAS. A full generation apart. Note the second wife's surname against Justiniana Lenguas - the two families look connected before 1864.	13 Sep 2026	SECONDARY	
Rosario cathedral, Libro 24 - opening at image 12, acts 915-920 (5 August 1882)	The act-by-act read carried six acts further, to 756 consecutive baptisms. Francisco Dapple, Justino Flores, Juan Seguiroma, Inocencio Diez, Miguel Abasto, Juan Agustin Cortes. No Lerena. Paused with an exact resume point and a method note: each image carries its own ark and the film's ark list is not exposed to a script, so every opening costs two round trips before it can be read.	13 Sep 2026	PRIMARY	
Argentina, National Census 1869 - the Rosario LORENA household schedule, image ark 3:1:S3HT-XK5Q-L	*** SIX LORENAS READ AT THEIR OWN SCHEDULE, and set down. *** All six are one household. The head, Agustin Lorena, 40, is a tinsmith of LIMA - the provincia column blank because he is not Argentine - with five Cordoba-born children. The clerk wrote LORENA with an O and a single L. Two of the children were flagged as the right age to be a parent in 1882; they are a Peruvian tinsmith's family and not this one.	13 Sep 2026	PRIMARY	
Rosario cathedral, Libro 24/25 - openings at film 004098791 i=15 to i=18, acts 921-944 (5-9 August 1882)	Four more openings read act by act, carrying the read to *** 780 consecutive baptisms ***. Avena, Martini, Rodriguez, Acosta, Coppes, Coman, Fernandez, Duarte, Pero, Amaral, Nunez, Cassavola, Ledda, Blasi, Lopez, Lentini, Toledo, Ruiz, Rosas, Flores, Rabellino, Ramosfe, Gallego. No Lerena anywhere.	13 Sep 2026	PRIMARY	

FamilySearch catalogue 208788 - Registros parroquiales de Nuestra Senora del Rosario, 1722-1961, all 73 film rows	*** THE DEATH REGISTERS FOR THE WHOLE INDEX GAP ARE FILMED, and this archive had listed only one of the five. *** Defunciones 1731-1803 (DGS 4531019), 1804-1824+1828-1841 (4531020), 1841-1860 (4531021), 1861-1864 (4531022), 1864-1875 (4531023). The catalogue also confirms the hard edge: THERE IS NO DEFUNCIONES FILM AFTER 1875. Also recovered: three Confirmaciones films and two earlier Matrimonios films, none previously listed here.	13 Sep 2026	SECONDARY	
San Francisco de Asis, Montevideo - baptism act No. 1447, folio 504 (31 October 1886)	*** THE ACT THAT MAKES GILBERTO A BROTHER, ON A DOCUMENT. *** His daughter Maria Angelica Julia, "hija legitima de Don Gilberto Lerena y de Dona Julia Salvanach, orientales", with paternal grandparents "Don LUIS y Dona JUSTINIANA LENGUAS" - the same couple named as Luis Eugenio's parents. AND THE GODMOTHER IS DONA JULIA JUANICO DE LERENA, Luis Eugenio's own wife. Same priest, Martin Perez, as act 1720.	13 Sep 2026	PRIMARY	
Uruguay, Civil Registration - Montevideo birth certificate No. 283 of 1908	Jose Julio's birth, declared by HIS OWN MOTHER at 64, a widow. It independently confirms Luis Eugenio's death on 24 December 1901 from a different document - and places *** JUSTINIANA LENGUAS, AT EIGHTY-SEVEN, RESIDENT IN THE ARGENTINE REPUBLIC. ***	13 Sep 2026	PRIMARY	
San Francisco de Asis, Montevideo - baptism acts Nos. 404 and 405, folio 274 (4 October 1843)	Julia Juanico's own baptism, image read: born 23 November 1842, "hija legitima de D. Candido Juanico y D. Juliana Joaquina Gonzalez". And act 404 immediately above it baptises *** ENRIQUE JUANICO, born 18 May 1841, a BROTHER *** - christened the same day. A name trap: Julia's godfather is also a D. Enrique Juanico, and a boy of two cannot stand godfather.	13 Sep 2026	PRIMARY	
La Mauricia, Villa de la Union, Montevideo - baptisms of 7 January 1846	*** LUIS EUGENIO'S OWN BAPTISM, and the generation above it. *** Born 9 February 1843; "hijo legitimo de Luis Lerena y Justiniana Lenguas, orientales. Paternos: Francisco y Maria Fernandez. Maternos: Pedro y Carmen Gonzalez." His sister's act calls the maternal grandfather "el GENERAL D. Pedro Lenguas". A sixth sibling found: ALEJANDRO. These are later transcripts from a legajo, which matters - see the 1850 act.	13 Sep 2026	PRIMARY	
S. Agustin, pueblo de la Restauracion, Montevideo - baptism act No. 585, 7 October 1850	*** THE ACT THAT PUTS SANCHO ON A DOCUMENT. *** Alberto Octavio Lerena, born 22 March 1850, "hijo legitimo de D. Luis Lerena y Dona Justiniana Lenguas, naturales de Montevideo. PATERNOS: D. SANCHO y Dona MARIA FERNANDEZ." Opened specifically to resolve a conflict with the 1846 transcripts, which name the paternal grandfather FRANCISCO. The original beats the copy.	13 Sep 2026	PRIMARY	
Uruguay, Civil Registration - Montevideo death registration of Sixta Lenguas, 17 January 1884	*** THE RECORD THAT MAKES JUSTINIANA AND SIXTA SISTERS. *** Parents "Pedro Lenguas, Carmen Gonzalez", husband "Candido Juanico" - the same parents the 1846 acts give Justiniana. So the groom's maternal aunt was already the bride's stepmother when Luis Eugenio married Julia Juanico in 1864.	13 Sep 2026	SECONDARY	
Rosario cathedral, Libro 25 - opening at film 004098791 i=19, acts 945-950 (9-10 August 1882)	Six more acts read act by act: Pedro Toledo, Miguel Dolmas, Rosa Perez, Maria Candelaria, Alejandro Orellana, Arturo Ferrari. No Lerena. *** 786 consecutive baptisms now read. ***	13 Sep 2026	PRIMARY	
Rosario cathedral, Defunciones 1841-1860 - film 1091422, DGS 4531021	*** THE DEATH REGISTERS STARTED. *** 658 images, unrestricted; the leader card reads 1091422, matching the catalogue. First opening read: five acts, 26 May to 18 June 1841 - Juan Fernandez, Luisa Candelaria Bravo, Victoria Medina, Ynnocencia Villa Real, Maria Zumbero. No Lerena. The margin-name method works here exactly as on the baptisms. On the order of six thousand acts for 1841-1860 alone: STARTED, not finished.	13 Sep 2026	PRIMARY	
FamilySearch catalogue 208788 re-read while their SEARCH was down - the confirmation and early marriage films	DGS numbers recovered for five films this archive had listed without them: *** Confirmaciones 1883-1918 (DGS 4531018) - the one that covers Pablo Armando *** - plus Confirmaciones 1722-1833/1860-1895 (4531017), Confirmaciones 1764-1833 (4530427), Matrimonios 1722-1803 (4531037) and Matrimonios 1804-1852 (4531038). A DIAGNOSTIC WORTH KEEPING: catalogue SEARCH, full-text and /search/film/<old film number> were all erroring, while a DIRECT CATALOGUE ID still worked.	13 Sep 2026	SECONDARY	
