country	bearers	incidence	rank_in_country	note
Spain	888	1:52,649	4,882	Largest absolute total; Forebears summarises as La Rioja, Andalusia, Madrid
Uruguay	431	1:7,962	896	HIGHEST DENSITY IN THE WORLD - founder-emigration signature
Argentina	293	1:145,882	12,355	Family testimony points here (Rosario)
Mexico	223	1:556,620	9,555	
United States	107	1:3,387,467	192,132	
South Africa	61	1:888,159	57,770	~3% of all Lerenas worldwide; probable single founder cluster
Haiti	49	1:218,039	8,036	
Chile	14	1:1,258,320	22,898	
France	11	1:6,038,429	280,838	

WORLDWIDE	2,124	1:3,431,048	197,177	Forebears, accessed 8 Sep 2026. Variant Llerena: 36,828 bearers, 92% similarity.
