# *** THE FOUR URUGUAYAN DEPARTMENTS, MEASURED - 16 September 2026. ***
# Work-list row 120. The current tree handed over four Uruguayan Lerenas in four departments: Gabino of
# FLORES, Demetria Clara of SAN JOSE, Brigida Rudecinda of FLORIDA, and Antonia Isabel of ROSARIO in
# COLONIA. *** The row called them departments this archive had NEVER SEARCHED. That was wrong about
# Flores and too strong about the other three. ***
# *** THE ROW'S PREMISE WAS FALSE AND SO WAS THE FIRST VERSION OF THIS FILE. SEE /corrections/. ***
# *** This archive HAS searched Flores. *** `trinidad-flores-kindred.tsv`, read 13 September 2026, is
# titled *** "TRINIDAD, DEPARTMENT OF FLORES - the founding nest of the surname" ***, and
# `lerena-pelaez-trinidad.tsv` maps the Lerena-Pelaez consanguinity dispensations there.
# *** What is true, and is the only thing this file adds, is the SCALE. ***
department	exact LERENA records	what is actually there
*** FLORES ***	*** 608 ***	*** THE LARGEST BODY OF LERENA RECORDS IN URUGUAY OUTSIDE MONTEVIDEO - and this archive HAS been here, which the first draft of this file denied. *** Trinidad, the department capital, is `trinidad-flores-kindred.tsv`, read 13 September and called *** "the founding nest of the surname" ***: eleven children, the Basque mothers Beloqui, Echeverry and Pelaez, and the consanguinity dispensations. *** That study read a NEST. This count measures a DEPARTMENT, and 608 records is far more than eleven children. The gap between what has been read and what is there is the finding. *** Record-backed and read today: *** FAUSTO G. LERENA, married 7 April 1900 at SANTISIMA TRINIDAD, Trinidad, Flores - born 1880, son of BERNABE LERENA and CASIMIRA PELAEZ. *** A settled family in the department capital.
*** SAN JOSE ***	*** 315 ***	Record-backed and read today: *** CARMELO ANSELMO LERENA, born 20 April 1846 and dead 27 April 1846 at SAN JOSE DE MAYO - seven days old - son of ALEJANDRO LERENA and BARBARA LERENA. *** *** Note the parents share the surname ***, which is the same pattern as Pablo Armando's own card, where his mother is written "Maria Lerena".
*** FLORIDA ***	*** 231 ***	Names in the department run Olga Gregoria, Rodolfo, Maria Lili Lerena. *** The tree's own Florida person - BRIGIDA RUDECINDA LERENA, b. 1 March 1861 - was searched for by name and NOT FOUND. *** One person missing out of 231 records proves nothing either way; it is recorded so nobody assumes she was confirmed.
*** COLONIA *** (for Rosario, Colonia)	*** 189 ***	Spread across the department rather than concentrated: *** Manuel Lerena at CAMPANA, Vitalino Lerena at SAN PEDRO, Alfredo Lerena at NUEVA PALMIRA. ***
#
# *** AND THE NUMBER THAT PUTS IT IN PROPORTION. ***
# *** CANELONES - the department this archive has worked HARDEST, where the 1791 marriage act was found,
# where the eight children were read off the registers, where three burial registers were walked image
# by image - returns 191. ***
# *** FLORES ALONE IS MORE THAN THREE TIMES CANELONES *** - and Flores has been sampled, not swept.
# The four departments together hold
# *** 1,343 exact LERENA records ***, against an archive register of 278 people.
#
# *** WHAT THIS DOES AND DOES NOT MEAN. ***
# *** It does NOT mean 1,343 people *** - a single person generates a baptism, a marriage, a death and
# often an index card as well, so the headcount is a fraction of the record count.
# *** It does NOT mean any of them are related to Pablo Armando. *** Nothing here touches him.
# *** What it DOES mean is a matter of DEPTH, not of discovery. *** The archive has a Canelones marriage,
# a Montevideo trunk and a Trinidad nest. *** Behind the nest sits a department of 608 records, and
# behind SAN JOSE, FLORIDA and COLONIA - which have no dedicated study at all, only passing mentions -
# sit another 735. *** The picture is not wrong. It is thin in places nobody has measured until now.
#
# *** AND ONE THING THAT SHOULD BE SAID PLAINLY ABOUT THE TREE'S OWN PEOPLE. ***
# *** GABINO LERENA of Flores is given in the tree as the son of RAMON LLERENA CUBAS and MARGARITA
# LEAL. That is NOT Sancho's line. *** So the current tree already carries Uruguayan Lerenas who do not
# descend from the 1791 marriage - *** which is a useful warning against reading every Uruguayan Lerena
# as a relative, and a reason the interior departments matter: they may be a different family entirely. ***
#
# *** A TOOL CAVEAT, EARNED TODAY AND WORTH KEEPING. ***
# *** FamilySearch's `anyPlace` filter works cleanly for Uruguay and FAILED SILENTLY for Argentina *** -
# a search filtered to "Santa Fe, Argentina" returned ZERO while the unfiltered set demonstrably
# contained a Santa Fe record. *** The difference is almost certainly that Santa Fe is both a province
# and a city and the disambiguation collapsed. *** Before trusting a place-filtered null anywhere, run
# the same filter on a place you KNOW returns something.
#
# ===== AND THE THING THAT IS ACTUALLY WORTH ACTING ON: WHERE THE URUGUAYAN LAYER CAME FROM =====
# *** Chasing names in these departments on 16 September produced NO new people. *** Every person
# reached was already held: *** Bernabe LERENA and Casimira PELAEZ, VITALINO LERENA and Andrea
# ECHEVERRY, ALEJANDRO LERENA and BARBARA LERENA of San Jose de Mayo *** - all in `lerena-register.tsv`
# or `trinidad-flores-kindred.tsv` already. *** The interior is better worked than the record counts
# suggested, and this file's first draft said otherwise and was wrong. ***
#
# *** WHAT DID TURN UP IS A SOURCING FACT, AND IT IS WORTH MORE THAN A NAME WOULD HAVE BEEN. ***
what the archive's Uruguayan baptism layer rests on	what is sitting beside it, free
*** `uruguay-baptisms-lerena.tsv`, read 9 September 2026, is a FINDMYPAST FREE RESULT LIST. *** Its own header says so: *** "33 index rows... transcripts are behind findmypast's paywall and were NOT opened." *** Twenty-two rows were recorded - eleven Trinidad, four Montevideo, three San Jose de Mayo. *** Names, years and parents' FORENAMES only. ***	*** FamilySearch holds 1,343 exact LERENA records across these four departments, free, and they carry PARENTS IN FULL and frequently a "VIEW ORIGINAL DOCUMENT" link. *** For Trinidad alone the 608 records break roughly half to *** Uruguay, Catholic Church Records 1726-2000 *** and half to *** Uruguay, Civil Registration 1879-2020 ***, with only a couple from *** Uruguay, Baptisms 1750-1900 *** - which is the very index findmypast was charging to transcribe.
#
# *** TO BE FAIR TO THE EARLIER WORK, AND THE FAIRNESS MATTERS: *** the register at lines 144-150 does
# cite "Catholic Church Records 1726-2000" alongside the baptism index, *** so the collection was not
# unknown - it was used for particular people rather than swept. *** And 1,343 records is not 1,343
# people: one person yields a baptism, a marriage, a death and often an index card.
#
# *** THE ACTIONABLE VERSION. *** The Uruguayan interior has been read PERSON BY PERSON, through a
# paywalled index that gave forenames only. *** It has never been read COLLECTION BY COLLECTION through
# the free one that gives full parentage and images. *** That is the difference between knowing that a
# Bernabe Lerena married a Casimira Pelaez and being able to put a generation above either of them.
